Al-26	LL-chondrite	proton
Egeom_GeV	IntSp	
0.001059254	0	
0.001188502	0	
0.001333521	0	
0.001496236	0	
0.001678804	0	
0.001883649	0	
0.002113489	0	
0.002371373	0	
0.002660725	0	
0.002985383	0	
0.003349655	0	
0.003758374	0	
0.004216965	0	
0.004731512	0	
0.005308844	0	
0.005956621	0	
0.006683439	0	
0.007498942	0	
0.008413951	0	
0.009440609	0	
0.01059254	0	
0.01188502	0	
0.01333521	0	
0.01496236	0	
0.01678804	0	
0.01883649	0	
0.02113489	0	
0.02371373	0	
0.02660725	0	
0.02985383	0	
0.03349655	0	
0.03758374	0	
0.04216965	0	
0.04731512	0	
0.05308844	0	
0.05956621	0	
0.06683439	0	
0.07498942	0	
0.08413951	0	
0.09440609	0	
0.1059254	0	
0.1188502	0	
0.1333521	0	
0.1496236	0	
0.1678804	0	
0.1883649	0	
0.2113489	0	
0.2371373	0	
0.2660725	0	
0.2985383	0	
0.3349655	0	
0.3758374	0	
0.4216965	0	
0.4731512	0	
0.5308844	0	
0.5956621	0	
0.6683439	0	
0.7498942	0	
0.8413951	0	
0.9440609	0	
1.059254	0	
1.188502	0	
1.333521	0	
1.496236	0	
1.678804	0	
1.883649	0	
2.113489	0	
2.371373	0	
2.660725	0	
2.985383	0	
3.349655	0	
3.758374	0	
4.216965	0	
4.731512	0	
5.308844	1.09647E-09	
5.956621	8.65901E-09	
6.683439	1.5185E-08	
7.498942	2.2677E-08	
8.413951	3.23643E-08	
9.440609	4.16274E-08	
10.59254	5.04954E-08	
11.88502	5.87445E-08	
13.33521	6.59528E-08	
14.96236	8.03872E-08	
16.78804	1.0142E-07	
18.83649	1.24877E-07	
21.13489	1.54129E-07	
23.71373	1.82087E-07	
26.60725	2.21254E-07	
29.85383	3.58934E-07	
33.49655	6.70364E-07	
37.58374	1.09302E-06	
42.16965	1.38141E-06	
47.31512	1.48022E-06	
53.08844	1.51259E-06	
59.56621	1.47529E-06	
66.83439	1.43939E-06	
74.98942	1.45053E-06	
84.13951	1.51803E-06	
94.40609	1.59771E-06	
105.9254	1.69874E-06	
118.8502	1.82423E-06	
133.3521	1.95938E-06	
149.6236	2.10521E-06	
167.8804	2.26339E-06	
188.3649	2.4357E-06	
211.3489	2.61727E-06	
237.1373	2.80795E-06	
266.0725	3.0147E-06	
298.5383	3.24025E-06	
334.9655	3.48585E-06	
375.8374	3.74312E-06	
421.6965	4.01136E-06	
473.1512	4.30136E-06	
530.8844	4.60829E-06	
595.6621	4.93284E-06	
668.3439	5.28591E-06	
749.8942	5.67588E-06	
841.3951	6.10304E-06	
944.0609	6.57075E-06	
1059.254	7.20162E-06	
1188.502	8.0122E-06	
1333.521	8.8796E-06	
1496.236	9.81525E-06	
1678.804	1.08531E-05	
1883.649	1.20049E-05	
2113.489	1.3257E-05	
2371.373	1.46145E-05	
2660.725	1.62558E-05	
2985.383	1.82377E-05	
3349.655	2.04613E-05	
3758.374	2.2956E-05	
4216.965	2.5755E-05	
4731.512	2.88953E-05	
5308.844	3.24186E-05	
5956.621	3.63717E-05	
6683.439	4.08068E-05	
7498.942	4.57829E-05	
8413.951	5.13659E-05	
9440.609	5.76298E-05	
10592.54	6.46597E-05	
11885.02	7.25494E-05	
13335.21	8.14018E-05	
14962.36	9.13343E-05	
16788.04	0.000102479	
18836.49	0.000114983	
21134.89	0.000129013	
23713.73	0.000144755	
26607.25	0.000162418	
29853.83	0.000182236	
33496.55	0.000204472	
37583.74	0.000229421	
42169.65	0.000257415	
47315.12	0.000288824	
53088.44	0.000324066	
59566.21	0.000363608	
66834.39	0.000407975	
74989.42	0.000457756	
84139.51	0.00051361	
94406.09	0.00057628	
105925.4	0.000646597	
118850.2	0	
133352.1	0	
149623.6	0	
167880.4	0	
188364.9	0	
211348.9	0	
237137.3	0	
266072.5	0	
298538.3	0	
334965.5	0	
375837.4	0	
421696.5	0	
473151.2	0	
530884.4	0	
595662.1	0	
668343.9	0	
749894.2	0	
841395.1	0	
944060.9	0	
