Al-26	L-chondrite	proton
Egeom_total_MeV	IntS	
0.001059254	0	
0.001188502	0	
0.001333521	0	
0.001496236	0	
0.001678804	0	
0.001883649	0	
0.002113489	0	
0.002371373	0	
0.002660725	0	
0.002985383	0	
0.003349655	0	
0.003758374	0	
0.004216965	0	
0.004731512	0	
0.005308844	0	
0.005956621	0	
0.006683439	0	
0.007498942	0	
0.008413951	0	
0.009440609	0	
0.01059254	0	
0.01188502	0	
0.01333521	0	
0.01496236	0	
0.01678804	0	
0.01883649	0	
0.02113489	0	
0.02371373	0	
0.02660725	0	
0.02985383	0	
0.03349655	0	
0.03758374	0	
0.04216965	0	
0.04731512	0	
0.05308844	0	
0.05956621	0	
0.06683439	0	
0.07498942	0	
0.08413951	0	
0.09440609	0	
0.1059254	0	
0.1188502	0	
0.1333521	0	
0.1496236	0	
0.1678804	0	
0.1883649	0	
0.2113489	0	
0.2371373	0	
0.2660725	0	
0.2985383	0	
0.3349655	0	
0.3758374	0	
0.4216965	0	
0.4731512	0	
0.5308844	0	
0.5956621	0	
0.6683439	0	
0.7498942	0	
0.8413951	0	
0.9440609	0	
1.059254	0	
1.188502	0	
1.333521	0	
1.496236	0	
1.678804	0	
1.883649	0	
2.113489	0	
2.371373	0	
2.660725	0	
2.985383	0	
3.349655	0	
3.758374	0	
4.216965	0	
4.731512	0	
5.308844	1.075E-09	
5.956621	8.492E-09	
6.683439	1.489E-08	
7.498942	2.224E-08	
8.413951	3.174E-08	
9.440609	4.082E-08	
10.59254	4.952E-08	
11.88502	5.761E-08	
13.33521	6.469E-08	
14.96236	7.911E-08	
16.78804	1.003E-07	
18.83649	1.239E-07	
21.13489	1.534E-07	
23.71373	1.813E-07	
26.60725	2.198E-07	
29.85383	3.545E-07	
33.49655	6.59E-07	
37.58374	1.072E-06	
42.16965	1.355E-06	
47.31512	1.451E-06	
53.08844	1.483E-06	
59.56621	1.447E-06	
66.83439	1.412E-06	
74.98942	1.423E-06	
84.13951	1.489E-06	
94.40609	1.567E-06	
105.9254	1.666E-06	
118.8502	1.789E-06	
133.3521	1.921E-06	
149.6236	2.064E-06	
167.8804	2.219E-06	
188.3649	2.388E-06	
211.3489	2.566E-06	
237.1373	2.753E-06	
266.0725	2.955E-06	
298.5383	3.176E-06	
334.9655	3.418E-06	
375.8374	3.671E-06	
421.6965	3.935E-06	
473.1512	4.22E-06	
530.8844	4.523E-06	
595.6621	4.845E-06	
668.3439	5.196E-06	
749.8942	5.586E-06	
841.3951	6.014E-06	
944.0609	6.484E-06	
1059.254	7.118E-06	
1188.502	7.932E-06	
1333.521	8.799E-06	
1496.236	9.732E-06	
1678.804	1.077E-05	
1883.649	1.192E-05	
2113.489	1.317E-05	
2371.373	1.452E-05	
2660.725	1.616E-05	
2985.383	1.812E-05	
3349.655	2.033E-05	
3758.374	2.281E-05	
4216.965	2.56E-05	
4731.512	2.872E-05	
5308.844	3.222E-05	
5956.621	3.615E-05	
6683.439	4.055E-05	
7498.942	4.55E-05	
8413.951	5.105E-05	
9440.609	5.727E-05	
10592.54	6.426E-05	
11885.02	7.21E-05	
13335.21	8.09E-05	
14962.36	9.077E-05	
16788.04	0.0001018	
18836.49	0.0001143	
21134.89	0.0001282	
23713.73	0.0001439	
26607.25	0.0001614	
29853.83	0.0001811	
33496.55	0.0002032	
37583.74	0.000228	
42169.65	0.0002558	
47315.12	0.000287	
53088.44	0.0003221	
59566.21	0.0003614	
66834.39	0.0004055	
74989.42	0.0004549	
84139.51	0.0005104	
94406.09	0.0005727	
105925.4	0.0006426	
118850.2	0	
133352.1	0	
149623.6	0	
167880.4	0	
188364.9	0	
211348.9	0	
237137.3	0	
266072.5	0	
298538.3	0	
334965.5	0	
375837.4	0	
421696.5	0	
473151.2	0	
530884.4	0	
595662.1	0	
668343.9	0	
749894.2	0	
841395.1	0	
944060.9	0	
