Al-26	L-chondrite	alpha
Egeom_total_MeV	IntSa	
0.001059254	0	
0.001188502	0	
0.001333521	0	
0.001496236	0	
0.001678804	0	
0.001883649	0	
0.002113489	0	
0.002371373	0	
0.002660725	0	
0.002985383	0	
0.003349655	0	
0.003758374	0	
0.004216965	0	
0.004731512	0	
0.005308844	0	
0.005956621	0	
0.006683439	0	
0.007498942	0	
0.008413951	0	
0.009440609	0	
0.01059254	0	
0.01188502	0	
0.01333521	0	
0.01496236	0	
0.01678804	0	
0.01883649	0	
0.02113489	0	
0.02371373	0	
0.02660725	0	
0.02985383	0	
0.03349655	0	
0.03758374	0	
0.04216965	0	
0.04731512	0	
0.05308844	0	
0.05956621	0	
0.06683439	0	
0.07498942	0	
0.08413951	0	
0.09440609	0	
0.1059254	0	
0.1188502	0	
0.1333521	0	
0.1496236	0	
0.1678804	0	
0.1883649	0	
0.2113489	0	
0.2371373	0	
0.2660725	0	
0.2985383	0	
0.3349655	0	
0.3758374	0	
0.4216965	0	
0.4731512	0	
0.5308844	0	
0.5956621	0	
0.6683439	0	
0.7498942	0	
0.8413951	0	
0.9440609	0	
1.059254	0	
1.188502	0	
1.333521	0	
1.496236	0	
1.678804	0	
1.883649	0	
2.113489	0	
2.371373	0	
2.660725	0	
2.985383	0	
3.349655	0	
3.758374	0	
4.216965	0	
4.731512	0	
5.308844	1.721E-09	
5.956621	1.359E-08	
6.683439	2.383E-08	
7.498942	3.558E-08	
8.413951	5.078E-08	
9.440609	6.532E-08	
10.59254	7.923E-08	
11.88502	9.218E-08	
13.33521	1.035E-07	
14.96236	1.266E-07	
16.78804	1.605E-07	
18.83649	1.983E-07	
21.13489	2.454E-07	
23.71373	2.901E-07	
26.60725	3.516E-07	
29.85383	5.672E-07	
33.49655	1.054E-06	
37.58374	1.716E-06	
42.16965	2.167E-06	
47.31512	2.322E-06	
53.08844	2.373E-06	
59.56621	2.315E-06	
66.83439	2.259E-06	
74.98942	2.276E-06	
84.13951	2.382E-06	
94.40609	2.507E-06	
105.9254	2.665E-06	
118.8502	2.862E-06	
133.3521	3.074E-06	
149.6236	3.303E-06	
167.8804	3.552E-06	
188.3649	3.823E-06	
211.3489	4.11E-06	
237.1373	4.412E-06	
266.0725	4.739E-06	
298.5383	5.098E-06	
334.9655	5.489E-06	
375.8374	5.901E-06	
421.6965	6.332E-06	
473.1512	6.8E-06	
530.8844	7.3E-06	
595.6621	7.833E-06	
668.3439	8.418E-06	
749.8942	9.072E-06	
841.3951	9.795E-06	
944.0609	1.059E-05	
1059.254	1.167E-05	
1188.502	1.304E-05	
1333.521	1.449E-05	
1496.236	1.605E-05	
1678.804	1.778E-05	
1883.649	1.971E-05	
2113.489	2.18E-05	
2371.373	2.405E-05	
2660.725	2.677E-05	
2985.383	3.003E-05	
3349.655	3.369E-05	
3758.374	3.78E-05	
4216.965	4.241E-05	
4731.512	4.758E-05	
5308.844	5.338E-05	
5956.621	5.989E-05	
6683.439	6.72E-05	
7498.942	7.539E-05	
8413.951	8.459E-05	
9440.609	9.49E-05	
10592.54	0.0001065	
11885.02	0.0001195	
13335.21	0.000134	
14962.36	0.0001504	
16788.04	0.0001688	
18836.49	0.0001893	
21134.89	0.0002125	
23713.73	0.0002384	
26607.25	0.0002675	
29853.83	0.0003001	
33496.55	0.0003367	
37583.74	0.0003778	
42169.65	0.0004239	
47315.12	0.0004756	
53088.44	0.0005337	
59566.21	0.0005988	
66834.39	0.0006718	
74989.42	0.0007538	
84139.51	0.0008458	
94406.09	0.000949	
105925.4	0.001065	
118850.2	0.001438	
133352.1	0.00191	
149623.6	0.002143	
167880.4	0.002405	
188364.9	0.002698	
211348.9	0.003027	
237137.3	0.003397	
266072.5	0.003811	
298538.3	0.004276	
334965.5	0.004798	
375837.4	0.005384	
421696.5	0.00604	
473151.2	0.006778	
530884.4	0.007605	
595662.1	0.008532	
668343.9	0.009574	
749894.2	0.01074	
841395.1	0.01205	
944060.9	0.01352	
