S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	pi-)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	0	0	0	0								
0.9440609	0	0	0	0								
1.059254	0	0	0	0								
1.188502	0	0	0	0								
1.333521	0	0	0	0								
1.496236	0	0	0	0								
1.678804	0	0	0	0								
1.883649	0	0	0	0								
2.113489	0	0	0	0								
2.371373	0	0	0	0								
2.660725	0	0	0	0								
2.985383	0	0	0	0								
3.349655	0	0	0	0								
3.758374	0	0	0	0								
4.216965	0	0	0	0								
4.731512	0	0	0	0								
5.308844	0	0	0	0								
5.956621	0	0	0	0								
6.683439	0	0	0	0								
7.498942	0	0	0	0								
8.413951	0	0	0	0								
9.440609	0	0	0	0								
10.59254	0	0	0	0								
11.88502	3.283052E-09	0	3.279258E-09	3.79448E-12								
13.33521	1.129695E-08	0	1.128363E-08	1.33189E-11								
14.96236	2.69528E-08	0	2.692025E-08	3.25528E-11								
16.78804	5.382126E-08	0	5.375434E-08	6.692525E-11								
18.83649	9.636242E-08	0	9.623827E-08	1.241489E-10								
21.13489	1.597075E-07	0	1.594926E-07	2.149555E-10								
23.71373	2.489341E-07	0	2.485801E-07	3.539443E-10								
26.60725	3.673668E-07	0	3.668064E-07	5.604687E-10								
29.85383	5.130581E-07	0	5.121987E-07	8.593953E-10								
33.49655	7.527217E-07	6.673946E-08	6.835835E-07	2.398706E-09								
37.58374	2.580922E-06	1.676764E-06	8.947374E-07	9.420785E-09								
42.16965	6.88854E-06	5.695831E-06	1.164982E-06	2.772728E-08								
47.31512	1.498365E-05	1.34116E-05	1.509625E-06	6.242159E-08								
53.08844	2.843559E-05	2.636823E-05	1.947345E-06	1.200088E-07								
59.56621	4.901277E-05	4.630466E-05	2.500518E-06	2.07595E-07								
66.83439	7.836806E-05	7.484156E-05	3.195273E-06	3.312322E-07								
74.98942	0.0001173201	0.0001127669	4.060871E-06	4.923372E-07								
84.13951	0.0001643912	0.0001585827	5.127945E-06	6.805468E-07								
94.40609	0.0002129864	0.0002057019	6.42445E-06	8.600456E-07								
105.9254	0.000256967	0.000247967	8.00174E-06	9.982187E-07								
118.8502	0.0003017206	0.0002906324	9.968336E-06	1.119881E-06								
133.3521	0.0003542923	0.0003405844	1.245172E-05	1.256174E-06								
149.6236	0.0004157753	0.0003987929	1.557361E-05	1.408751E-06								
167.8804	0.0004872566	0.0004662084	1.946877E-05	1.579486E-06								
188.3649	0.0005696598	0.0005436193	2.427012E-05	1.770378E-06								
211.3489	0.0006635561	0.0006314926	3.007985E-05	1.983636E-06								
237.1373	0.0007688261	0.0007296933	3.691105E-05	2.221685E-06								
266.0725	0.0008841447	0.0008370771	4.458034E-05	2.487233E-06								
298.5383	0.001006158	0.0009508614	5.251355E-05	2.783307E-06								
334.9655	0.001133386	0.001069953	6.032098E-05	3.111764E-06								
375.8374	0.001270238	0.001198149	6.861724E-05	3.471702E-06								
421.6965	0.001420467	0.00133854	7.806602E-05	3.861359E-06								
473.1512	0.001584137	0.001491051	8.880725E-05	4.278936E-06								
530.8844	0.001760908	0.001655202	0.0001009851	4.721445E-06								
595.6621	0.001950058	0.001830131	0.0001147414	5.185165E-06								
668.3439	0.002150702	0.002014827	0.0001302075	5.667128E-06								
749.8942	0.002362378	0.00220872	0.0001474895	6.168381E-06								
841.3951	0.002586443	0.002413088	0.000166654	6.700831E-06								
944.0609	0.002828789	0.002633783	0.0001877062	7.300029E-06								
1059.254	0.003094219	0.002875718	0.0002105007	8.000312E-06								
1188.502	0.003375785	0.003132361	0.0002346339	8.789239E-06								
1333.521	0.003663231	0.003394122	0.0002594605	9.648123E-06								
1496.236	0.00395001	0.003655337	0.0002840897	1.058396E-05								
1678.804	0.004228131	0.003909182	0.0003073438	1.160476E-05								
1883.649	0.004488446	0.004147923	0.0003278051	1.271752E-05								
2113.489	0.004722494	0.004364491	0.0003440768	1.392572E-05								
2371.373	0.004926008	0.004555412	0.0003553733	1.522291E-05								
2660.725	0.005105957	0.004726618	0.0003627586	1.658043E-05								
2985.383	0.005293333	0.004903912	0.0003714975	1.792369E-05								
3349.655	0.005503975	0.005098819	0.0003860204	1.913502E-05								
3758.374	0.005685944	0.005264229	0.000401616	2.009954E-05								
4216.965	0.005781925	0.005348903	0.000412333	2.068815E-05								
4731.512	0.005765999	0.005328645	0.0004166282	2.072577E-05								
5308.844	0.005613177	0.005180163	0.0004129989	2.001459E-05								
5956.621	0.005305664	0.004886973	0.000400327	1.836369E-05								
6683.439	0.00484482	0.004450634	0.0003785293	1.565664E-05								
7498.942	0.004272605	0.003910913	0.0003497006	1.199105E-05								
8413.951	0.003708693	0.003380654	0.000320074	7.964834E-06								
9440.609	0.003406718	0.003098395	0.0003031008	5.222892E-06								
10592.54	0.003511766	0.00320071	0.0003063561	4.699918E-06								
11885.02	0.003831918	0.003508148	0.0003182636	5.506539E-06								
13335.21	0.004176248	0.003841707	0.0003277938	6.747075E-06								
14962.36	0.004548359	0.00420507	0.0003346737	8.61501E-06								
16788.04	0.004954066	0.004603752	0.0003389624	1.135209E-05								
18836.49	0.005401979	0.005045497	0.000341249	1.523355E-05								
21134.89	0.005904891	0.00554138	0.0003429864	2.052415E-05								
23713.73	0.006481058	0.006106779	0.0003469025	2.737586E-05								
26607.25	0.007155545	0.006762403	0.0003575227	3.561912E-05								
29853.83	0.007960845	0.007534722	0.0003817638	4.435956E-05								
33496.55	0.008953298	0.008476182	0.0004243272	5.278862E-05								
37583.74	0.01023346	0.009687316	0.0004844314	6.171285E-05								
42169.65	0.01193356	0.01129768	0.0005637092	7.217234E-05								
47315.12	0.01421085	0.0134572	0.0006692652	8.438564E-05								
53088.44	0.01725529	0.01634705	0.000809679	9.856916E-05								
59566.21	0.0212739	0.02016468	0.0009943021	0.0001149126								
66834.39	0.02644826	0.02508337	0.001231352	0.0001335392								
74989.42	0.03284038	0.03116226	0.001523681	0.0001544377								
84139.51	0.04020508	0.03816738	0.00186035	0.0001773583								
94406.09	0.04763251	0.04523029	0.002200573	0.0002016443								
105925.4	0.05431672	0.0515814	0.002508252	0.000227074								
118850.2	0.06094461	0.05787551	0.002814316	0.0002547822								
133352.1	0.06838134	0.06493774	0.003157731	0.0002858719								
149623.6	0.0767244	0.07286065	0.003542999	0.0003207505								
167880.4	0.08608642	0.08175121	0.003975321	0.0003598889								
188364.9	0.09659071	0.09172651	0.004460391	0.0004038027								
211348.9	0.1083766	0.1029189	0.005004642	0.0004530742								
237137.3	0.1216003	0.1154767	0.005615291	0.0005083567								
266072.5	0.1364382	0.1295673	0.006300477	0.0005703871								
298538.3	0.153086	0.1453768	0.007069245	0.0006399843								
334965.5	0.1717651	0.1631152	0.007931813	0.0007180732								
375837.4	0.1927238	0.1830185	0.008899649	0.0008056922								
421696.5	0.2162395	0.2053499	0.009985562	0.0009040008								
473151.2	0.2426246	0.2304063	0.01120398	0.001014305								
530884.4	0.2722295	0.2585204	0.01257109	0.00113807								
595662.1	0.3054464	0.2900645	0.01410498	0.001276935								
668343.9	0.3427169	0.3254581	0.01582607	0.001432746								
749894.2	0.3845341	0.3651695	0.01775712	0.001607566								
841395.1	0.4314546	0.4097271	0.01992382	0.001803719								
944060.9	0.4841003	0.4597215	0.02235491	0.002023807								
