S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	pi+)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	1.433673E-09	1.398242E-09	0	3.543145E-11								
0.9440609	4.560908E-09	4.408387E-09	0	1.525216E-10								
1.059254	8.642234E-09	8.341763E-09	0	3.004714E-10								
1.188502	1.409484E-08	1.359659E-08	0	4.982511E-10								
1.333521	2.132673E-08	2.056564E-08	0	7.610963E-10								
1.496236	3.083767E-08	2.972997E-08	0	1.107697E-09								
1.678804	4.324931E-08	4.168773E-08	0	1.561583E-09								
1.883649	5.932905E-08	5.717672E-08	0	2.152338E-09								
2.113489	8.001701E-08	7.709987E-08	0	2.917144E-09								
2.371373	1.06449E-07	1.025465E-07	0	3.902567E-09								
2.660725	1.399728E-07	1.348061E-07	0	5.166728E-09								
2.985383	1.821409E-07	1.753592E-07	0	6.781673E-09								
3.349655	2.347837E-07	2.25937E-07	5.900605E-12	8.840755E-09								
3.758374	3.00347E-07	2.887303E-07	1.490226E-10	1.146765E-08								
4.216965	3.818352E-07	3.665081E-07	5.102906E-10	1.481675E-08								
4.731512	4.83001E-07	4.627102E-07	1.213701E-09	1.907716E-08								
5.308844	6.086614E-07	5.817608E-07	2.416665E-09	2.44839E-08								
5.956621	7.651906E-07	7.295504E-07	4.313374E-09	3.132689E-08								
6.683439	9.613389E-07	9.142562E-07	7.122358E-09	3.996037E-08								
7.498942	1.209581E-06	1.14772E-06	1.104936E-08	5.081076E-08								
8.413951	1.528406E-06	1.447821E-06	1.620324E-08	6.438189E-08								
9.440609	1.946131E-06	1.842455E-06	2.24248E-08	8.125092E-08								
10.59254	2.499331E-06	2.367676E-06	2.950253E-08	1.021529E-07								
11.88502	3.226812E-06	3.060902E-06	3.778835E-08	1.281217E-07								
13.33521	4.178068E-06	3.96979E-06	4.784117E-08	1.604361E-07								
14.96236	5.423672E-06	5.163062E-06	6.001555E-08	2.005941E-07								
16.78804	7.05644E-06	6.731183E-06	7.480214E-08	2.504547E-07								
18.83649	9.197371E-06	8.792126E-06	9.293073E-08	3.123147E-07								
21.13489	1.200356E-05	1.149895E-05	1.155708E-07	3.890434E-07								
23.71373	1.567707E-05	1.504812E-05	1.446874E-07	4.842561E-07								
26.60725	2.047473E-05	1.968848E-05	1.836731E-07	6.025749E-07								
29.85383	2.671702E-05	2.572857E-05	2.384421E-07	7.500031E-07								
33.49655	3.498007E-05	3.372077E-05	3.229285E-07	9.363715E-07								
37.58374	4.629855E-05	4.465832E-05	4.631396E-07	1.17709E-06								
42.16965	6.195415E-05	5.977182E-05	6.921027E-07	1.49022E-06								
47.31512	8.336957E-05	8.042527E-05	1.048935E-06	1.895366E-06								
53.08844	0.0001122254	0.0001082278	1.583227E-06	2.41444E-06								
59.56621	0.0001503354	0.0001449123	2.353975E-06	3.069137E-06								
66.83439	0.0001993248	0.0001920251	3.424352E-06	3.875307E-06								
74.98942	0.0002599367	0.000250257	4.848103E-06	4.831607E-06								
84.13951	0.0003306741	0.0003181355	6.640389E-06	5.898193E-06								
94.40609	0.0004052483	0.0003895706	8.720074E-06	6.957701E-06								
105.9254	0.0004785681	0.0004596472	1.10239E-05	7.896975E-06								
118.8502	0.0005570871	0.0005345984	1.37395E-05	8.749226E-06								
133.3521	0.0006485487	0.0006218894	1.71138E-05	9.545488E-06								
149.6236	0.0007546573	0.0007231608	2.128369E-05	1.021286E-05								
167.8804	0.0008771088	0.0008400513	2.639715E-05	1.066028E-05								
188.3649	0.001017355	0.0009739718	3.259684E-05	1.078629E-05								
211.3489	0.00117636	0.001125865	3.999088E-05	1.050392E-05								
237.1373	0.001354161	0.001295769	4.859595E-05	9.795461E-06								
266.0725	0.00154924	0.00148218	5.823584E-05	8.823734E-06								
298.5383	0.001757541	0.001681046	6.836217E-05	8.132985E-06								
334.9655	0.001976636	0.001889826	7.865611E-05	8.153261E-06								
375.8374	0.00220989	0.002111522	8.982285E-05	8.544986E-06								
421.6965	0.002458885	0.00234739	0.0001025967	8.898902E-06								
473.1512	0.002719939	0.00259355	0.0001171768	9.211848E-06								
530.8844	0.002987734	0.002844482	0.0001337657	9.487107E-06								
595.6621	0.003255637	0.003093342	0.0001525573	9.737703E-06								
668.3439	0.003516983	0.003333273	0.0001737202	9.990021E-06								
749.8942	0.003768168	0.003560511	0.0001973699	1.028644E-05								
841.3951	0.004015261	0.003781041	0.0002235352	1.068527E-05								
944.0609	0.00428667	0.00402331	0.0002521074	1.125329E-05								
1059.254	0.004608021	0.00431326	0.0002827732	1.198763E-05								
1188.502	0.004956332	0.004628602	0.0003149359	1.279487E-05								
1333.521	0.005300068	0.004938819	0.0003476294	1.36197E-05								
1496.236	0.005630623	0.005236699	0.0003794556	1.446844E-05								
1678.804	0.005938746	0.00551481	0.0004085819	1.535375E-05								
1883.649	0.006215219	0.005766102	0.0004328235	1.629322E-05								
2113.489	0.006453384	0.005986031	0.0004500466	1.730625E-05								
2371.373	0.006653184	0.006175697	0.0004590839	1.840261E-05								
2660.725	0.006828403	0.0063472	0.0004616462	1.955658E-05								
2985.383	0.007018614	0.006532024	0.0004659368	2.06527E-05								
3349.655	0.007234088	0.006733789	0.000478793	2.150629E-05								
3758.374	0.007397711	0.006882713	0.000492997	2.20019E-05								
4216.965	0.00743324	0.00691164	0.0004995448	2.205512E-05								
4731.512	0.007307547	0.006789759	0.0004962571	2.153089E-05								
5308.844	0.006990537	0.006489191	0.0004810523	2.029404E-05								
5956.621	0.006464013	0.005993315	0.0004524583	1.823934E-05								
6683.439	0.005737912	0.005311995	0.0004105663	1.535079E-05								
7498.942	0.004878754	0.004508221	0.0003587201	1.181348E-05								
8413.951	0.004057814	0.00374317	0.0003064173	8.22616E-06								
9440.609	0.003619521	0.003339874	0.0002737018	5.945707E-06								
10592.54	0.003745852	0.00346885	0.0002713377	5.66433E-06								
11885.02	0.004176817	0.003887353	0.0002828802	6.58456E-06								
13335.21	0.00465697	0.00435629	0.0002927333	7.94738E-06								
14962.36	0.005192495	0.004881778	0.0003007705	9.946264E-06								
16788.04	0.00579095	0.005470958	0.0003071685	1.28241E-05								
18836.49	0.006461168	0.006131743	0.0003125648	1.686046E-05								
21134.89	0.007213855	0.006873209	0.0003183145	2.233161E-05								
23713.73	0.008061889	0.007705691	0.0003267821	2.941534E-05								
26607.25	0.009020694	0.008641023	0.0003416757	3.799484E-05								
29853.83	0.01010814	0.009692509	0.0003683511	4.727816E-05								
33496.55	0.01134892	0.01088126	0.0004111036	5.655334E-05								
37583.74	0.01278143	0.01224307	0.0004717363	6.662701E-05								
42169.65	0.01445697	0.01382377	0.0005546508	7.854631E-05								
47315.12	0.01644107	0.01567991	0.0006685597	9.259713E-05								
53088.44	0.01882124	0.01788816	0.0008240114	0.0001090665								
59566.21	0.02171347	0.02055276	0.001032506	0.0001282082								
66834.39	0.02526994	0.02381567	0.001304092	0.0001501833								
74989.42	0.02968637	0.02786939	0.001642033	0.0001749555								
84139.51	0.03520844	0.03297413	0.002032188	0.0002021214								
94406.09	0.04213171	0.03947831	0.002422777	0.0002306265								
105925.4	0.05087102	0.04784331	0.002767726	0.0002599833								
118850.2	0.06206899	0.05867183	0.003105452	0.0002917072								
133352.1	0.07654396	0.07273226	0.003484393	0.0003273026								
149623.6	0.09525169	0.09097494	0.003909517	0.0003672361								
167880.4	0.1193259	0.1145272	0.004386561	0.0004120468								
188364.9	0.150005	0.1446209	0.00492181	0.0004623248								
211348.9	0.188459	0.1824179	0.005522364	0.0005187371								
237137.3	0.2354003	0.228622	0.006196183	0.0005820316								
266072.5	0.2903203	0.282715	0.00695225	0.0006530519								
298538.3	0.3500481	0.3415148	0.007800546	0.0007327357								
334965.5	0.4061432	0.3965687	0.008752345	0.0008221418								
375837.4	0.4401729	0.4294302	0.009820303	0.0009224592								
421696.5	0.4147505	0.4026969	0.01101855	0.001035015								
473151.2	0.2469558	0.2334315	0.01236301	0.001161306								
530884.4	0.01517455	0	0.01387154	0.001303008								
595662.1	0.01702612	0	0.01556412	0.001461998								
668343.9	0.01910364	0	0.01746325	0.001640391								
749894.2	0.02143461	0	0.01959406	0.001840546								
841395.1	0.02405004	0	0.02198491	0.002065128								
944060.9	0.0269846	0	0.02466748	0.002317113								
