S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	alphas)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	0	0	0	0								
0.9440609	0	0	0	0								
1.059254	0	0	0	0								
1.188502	0	0	0	0								
1.333521	0	0	0	0								
1.496236	0	0	0	0								
1.678804	0	0	0	0								
1.883649	0	0	0	0								
2.113489	0	0	0	0								
2.371373	0	0	0	0								
2.660725	0	0	0	0								
2.985383	0	0	0	0								
3.349655	0	0	0	0								
3.758374	0	0	0	0								
4.216965	0	0	0	0								
4.731512	0	0	0	0								
5.308844	5.900544E-10	0	5.900544E-10	0								
5.956621	3.242245E-09	0	3.242245E-09	0								
6.683439	6.811558E-09	0	6.811558E-09	0								
7.498942	1.451616E-08	0	1.451616E-08	0								
8.413951	3.066686E-08	0	3.066686E-08	0								
9.440609	5.007934E-08	0	5.007934E-08	0								
10.59254	6.419309E-08	0	6.419309E-08	0								
11.88502	7.337439E-08	0	7.337439E-08	0								
13.33521	8.329708E-08	0	8.329708E-08	0								
14.96236	1.034257E-07	0	1.034257E-07	0								
16.78804	1.672608E-07	3.117268E-08	1.360881E-07	0								
18.83649	4.051272E-07	2.320875E-07	1.730397E-07	0								
21.13489	8.074309E-07	6.055665E-07	2.018644E-07	0								
23.71373	1.305103E-06	1.10049E-06	2.046135E-07	0								
26.60725	1.955119E-06	1.760905E-06	1.867957E-07	7.419275E-09								
29.85383	2.85449E-06	2.635792E-06	1.735336E-07	4.516412E-08								
33.49655	4.066918E-06	3.786793E-06	1.808149E-07	9.931077E-08								
37.58374	5.656493E-06	5.292272E-06	1.92593E-07	1.716274E-07								
42.16965	7.715216E-06	7.252211E-06	1.949864E-07	2.680186E-07								
47.31512	1.038957E-05	9.794636E-06	1.993894E-07	3.955403E-07								
53.08844	1.385617E-05	1.308773E-05	2.054415E-07	5.629997E-07								
59.56621	1.843427E-05	1.743513E-05	2.192803E-07	7.798616E-07								
66.83439	2.408422E-05	2.277307E-05	2.425863E-07	1.068559E-06								
74.98942	2.949434E-05	2.774598E-05	2.646603E-07	1.483697E-06								
84.13951	3.547091E-05	3.305689E-05	2.799471E-07	2.134078E-06								
94.40609	4.578309E-05	4.25707E-05	3.019005E-07	2.910487E-06								
105.9254	5.785102E-05	5.40088E-05	3.369786E-07	3.505247E-06								
118.8502	6.846822E-05	6.410513E-05	3.792846E-07	3.983805E-06								
133.3521	8.076336E-05	7.582281E-05	4.271706E-07	4.513386E-06								
149.6236	9.536619E-05	8.970114E-05	4.763999E-07	5.188649E-06								
167.8804	0.0001122495	0.0001055159	5.025568E-07	6.231063E-06								
188.3649	0.0001310698	0.0001229327	5.024062E-07	7.634676E-06								
211.3489	0.0001491161	0.0001395788	5.190744E-07	9.018203E-06								
237.1373	0.0001652963	0.0001543903	5.620015E-07	1.034395E-05								
266.0725	0.0001812028	0.0001687995	6.117942E-07	1.179149E-05								
298.5383	0.0001976657	0.0001837208	6.543103E-07	1.329054E-05								
334.9655	0.0002144953	0.0001992219	6.63365E-07	1.460997E-05								
375.8374	0.0002302655	0.0002140139	6.565804E-07	1.5595E-05								
421.6965	0.00024429	0.0002273313	7.00253E-07	1.625845E-05								
473.1512	0.0002563492	0.0002392302	8.024718E-07	1.631659E-05								
530.8844	0.0002676931	0.0002511119	9.337704E-07	1.564744E-05								
595.6621	0.0002831808	0.0002671099	1.085115E-06	1.498573E-05								
668.3439	0.0003100164	0.0002931878	1.236713E-06	1.55919E-05								
749.8942	0.0003472623	0.000328477	1.389185E-06	1.739606E-05								
841.3951	0.0003896349	0.0003685575	1.558692E-06	1.951871E-05								
944.0609	0.0004371777	0.0004135285	1.748882E-06	2.190037E-05								
1059.254	0.0004905195	0.0004639847	1.96227E-06	2.457251E-05								
1188.502	0.0005503741	0.0005206015	2.201712E-06	2.757093E-05								
1333.521	0.0006175332	0.0005841276	2.470375E-06	3.093525E-05								
1496.236	0.0006928772	0.0006553958	2.77178E-06	3.47096E-05								
1678.804	0.000777423	0.0007353681	3.109997E-06	3.894491E-05								
1883.649	0.0008722843	0.0008250979	3.489479E-06	4.369698E-05								
2113.489	0.0009787194	0.0009257753	3.915261E-06	4.902883E-05								
2371.373	0.001098139	0.001038735	4.392988E-06	5.501115E-05								
2660.725	0.001232136	0.001165483	4.929026E-06	6.17237E-05								
2985.383	0.001382478	0.001307692	5.530454E-06	6.925507E-05								
3349.655	0.001551164	0.001467253	6.205263E-06	7.770536E-05								
3758.374	0.001740436	0.001646287	6.962426E-06	8.718693E-05								
4216.965	0.0019528	0.001847162	7.811964E-06	9.782526E-05								
4731.512	0.002191077	0.00207255	8.765165E-06	0.0001097617								
5308.844	0.002458431	0.002325441	9.834686E-06	0.0001231548								
5956.621	0.002758403	0.002609187	1.103469E-05	0.0001381819								
6683.439	0.003094983	0.002927559	1.238114E-05	0.0001550428								
7498.942	0.003472623	0.00328477	1.389185E-05	0.0001739606								
8413.951	0.003896349	0.003685575	1.558692E-05	0.0001951871								
9440.609	0.004371777	0.004135285	1.748882E-05	0.0002190037								
10592.54	0.004905195	0.004639847	1.96227E-05	0.0002457251								
11885.02	0.005503741	0.005206015	2.201712E-05	0.0002757093								
13335.21	0.006175332	0.005841276	2.470375E-05	0.0003093525								
14962.36	0.006928772	0.006553958	2.77178E-05	0.000347096								
16788.04	0.00777423	0.007353681	3.109997E-05	0.0003894491								
18836.49	0.008722843	0.008250979	3.489479E-05	0.0004369698								
21134.89	0.009787194	0.009257753	3.915261E-05	0.0004902883								
23713.73	0.01098139	0.01038735	4.392988E-05	0.0005501115								
26607.25	0.01232136	0.01165483	4.929026E-05	0.000617237								
29853.83	0.01382478	0.01307692	5.530454E-05	0.0006925507								
33496.55	0.01551164	0.01467253	6.205263E-05	0.0007770536								
37583.74	0.01740436	0.01646287	6.962426E-05	0.0008718693								
42169.65	0.019528	0.01847162	7.811964E-05	0.0009782526								
47315.12	0.02191077	0.0207255	8.765165E-05	0.001097617								
53088.44	0.02458431	0.02325441	9.834686E-05	0.001231548								
59566.21	0.02758403	0.02609187	0.0001103469	0.001381819								
66834.39	0.03094983	0.02927559	0.0001238114	0.001550428								
74989.42	0.03472623	0.0328477	0.0001389185	0.001739606								
84139.51	0.03896349	0.03685575	0.0001558692	0.001951871								
94406.09	0.04371777	0.04135285	0.0001748882	0.002190037								
105925.4	0.04905195	0.04639847	0.000196227	0.002457251								
118850.2	0.05503741	0.05206015	0.0002201712	0.002757093								
133352.1	0.06175332	0.05841276	0.0002470375	0.003093525								
149623.6	0.06928772	0.06553958	0.000277178	0.00347096								
167880.4	0.0777423	0.07353681	0.0003109997	0.003894491								
188364.9	0.08722843	0.08250979	0.0003489479	0.004369698								
211348.9	0.09787194	0.09257753	0.0003915261	0.004902883								
237137.3	0	0	0	0								
266072.5	0	0	0	0								
298538.3	0	0	0	0								
334965.5	0	0	0	0								
375837.4	0	0	0	0								
421696.5	0	0	0	0								
473151.2	0	0	0	0								
530884.4	0	0	0	0								
595662.1	0	0	0	0								
668343.9	0	0	0	0								
749894.2	0	0	0	0								
841395.1	0	0	0	0								
944060.9	0	0	0	0								
