S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	protons)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	0	0	0	0								
0.9440609	0	0	0	0								
1.059254	0	0	0	0								
1.188502	0	0	0	0								
1.333521	0	0	0	0								
1.496236	0	0	0	0								
1.678804	0	0	0	0								
1.883649	0	0	0	0								
2.113489	0	0	0	0								
2.371373	0	0	0	0								
2.660725	0	0	0	0								
2.985383	0	0	0	0								
3.349655	0	0	0	0								
3.758374	0	0	0	0								
4.216965	0	0	0	0								
4.731512	0	0	0	0								
5.308844	0	0	0	0								
5.956621	0	0	0	0								
6.683439	0	0	0	0								
7.498942	0	0	0	0								
8.413951	0	0	0	0								
9.440609	0	0	0	0								
10.59254	0	0	0	0								
11.88502	0	0	0	0								
13.33521	0	0	0	0								
14.96236	0	0	0	0								
16.78804	0	0	0	0								
18.83649	0	0	0	0								
21.13489	0	0	0	0								
23.71373	7.801078E-09	0	0	7.801078E-09								
26.60725	1.637237E-08	0	0	1.637237E-08								
29.85383	3.487463E-08	0	0	3.487463E-08								
33.49655	7.48698E-08	0	0	7.48698E-08								
37.58374	1.238811E-07	0	0	1.238811E-07								
42.16965	1.595997E-07	0	0	1.595997E-07								
47.31512	1.825079E-07	0	0	1.825079E-07								
53.08844	2.064144E-07	0	0	2.064144E-07								
59.56621	2.556044E-07	0	0	2.556044E-07								
66.83439	3.368016E-07	0	0	3.368016E-07								
74.98942	8.6646E-07	4.366774E-07	0	4.297825E-07								
84.13951	1.680264E-06	1.176216E-06	0	5.040478E-07								
94.40609	2.667133E-06	2.154289E-06	0	5.128445E-07								
105.9254	3.927644E-06	3.459671E-06	0	4.67973E-07								
118.8502	5.708963E-06	5.189543E-06	8.64637E-08	4.329562E-07								
133.3521	8.110246E-06	7.46599E-06	1.935211E-07	4.507354E-07								
149.6236	1.126146E-05	1.044399E-05	3.364298E-07	4.810381E-07								
167.8804	1.533556E-05	1.432174E-05	5.269719E-07	4.868444E-07								
188.3649	2.062938E-05	1.935253E-05	7.79129E-07	4.977223E-07								
211.3489	2.748457E-05	2.586191E-05	1.110489E-06	5.121683E-07								
237.1373	3.656471E-05	3.44797E-05	1.539118E-06	5.458932E-07								
266.0725	4.788753E-05	4.517563E-05	2.107694E-06	6.04215E-07								
298.5383	5.868525E-05	5.510435E-05	2.920892E-06	6.600099E-07								
334.9655	7.032834E-05	6.541958E-05	4.211125E-06	6.976403E-07								
375.8374	9.082032E-05	8.429293E-05	5.776052E-06	7.51341E-07								
421.6965	0.0001150764	0.0001072643	6.973787E-06	8.383614E-07								
473.1512	0.0001362055	0.0001273348	7.92706E-06	9.435734E-07								
530.8844	0.0001606456	0.0001506066	8.976035E-06	1.06303E-06								
595.6621	0.0001897036	0.0001782153	1.030028E-05	1.188016E-06								
668.3439	0.0002233252	0.0002097113	1.235806E-05	1.255833E-06								
749.8942	0.0002609957	0.0002445768	1.516497E-05	1.253993E-06								
841.3951	0.0002972135	0.0002779849	1.79353E-05	1.293321E-06								
944.0609	0.0003296012	0.0003076243	2.057689E-05	1.39995E-06								
1059.254	0.0003613818	0.0003363907	2.34662E-05	1.524905E-06								
1188.502	0.0003942857	0.0003661766	2.647496E-05	1.63409E-06								
1333.521	0.0004280079	0.0003972135	2.913613E-05	1.658344E-06								
1496.236	0.0004596448	0.0004268813	3.112664E-05	1.636923E-06								
1678.804	0.000487842	0.0004536065	3.249458E-05	1.74094E-06								
1883.649	0.0005120617	0.0004774044	3.266344E-05	1.993806E-06								
2113.489	0.0005345318	0.0005008832	3.132855E-05	2.320079E-06								
2371.373	0.00056477	0.0005321561	2.991568E-05	2.698222E-06								
2660.725	0.0006177564	0.0005836361	3.104332E-05	3.077014E-06								
2985.383	0.0006919303	0.0006538462	3.462753E-05	3.456534E-06								
3349.655	0.0007763575	0.0007336265	3.885268E-05	3.878289E-06								
3758.374	0.0008710883	0.0008231433	4.359347E-05	4.351517E-06								
4216.965	0.0009773763	0.0009235812	4.891263E-05	4.882478E-06								
4731.512	0.001096634	0.001036275	5.488086E-05	5.478228E-06								
5308.844	0.001230445	0.001162721	6.157739E-05	6.146679E-06								
5956.621	0.001380581	0.001304593	6.909094E-05	6.896684E-06								
6683.439	0.001549039	0.001463779	7.752139E-05	7.738215E-06								
7498.942	0.001738048	0.001642385	8.698031E-05	8.682408E-06								
8413.951	0.001950123	0.001842788	9.759357E-05	9.741828E-06								
9440.609	0.002188075	0.002067642	0.0001095018	1.093051E-05								
10592.54	0.00245505	0.002319923	0.0001228626	1.226419E-05								
11885.02	0.002754623	0.002603007	0.0001378546	1.37607E-05								
13335.21	0.003090754	0.002920638	0.0001546763	1.543984E-05								
14962.36	0.003467851	0.003276979	0.000173548	1.732363E-05								
16788.04	0.003891003	0.003676841	0.0001947246	1.943748E-05								
18836.49	0.004365783	0.004125489	0.0002184849	2.180925E-05								
21134.89	0.004898491	0.004628877	0.0002451441	2.447038E-05								
23713.73	0.005496187	0.005193676	0.0002750558	2.745617E-05								
26607.25	0.00616684	0.005827416	0.0003086185	3.080641E-05								
29853.83	0.006919303	0.006538462	0.0003462753	3.456534E-05								
33496.55	0.007763575	0.007336265	0.0003885268	3.878289E-05								
37583.74	0.008710883	0.008231433	0.0004359347	4.351517E-05								
42169.65	0.009773763	0.009235812	0.0004891263	4.882478E-05								
47315.12	0.01096634	0.01036275	0.0005488086	5.478228E-05								
53088.44	0.01230445	0.01162721	0.0006157739	6.146679E-05								
59566.21	0.01380581	0.01304593	0.0006909094	6.896684E-05								
66834.39	0.01549039	0.01463779	0.0007752139	7.738215E-05								
74989.42	0.01738048	0.01642385	0.0008698031	8.682408E-05								
84139.51	0.01950123	0.01842788	0.0009759357	9.741828E-05								
94406.09	0.02188075	0.02067642	0.001095018	0.0001093051								
105925.4	0.0245505	0.02319923	0.001228626	0.0001226419								
118850.2	0.02754623	0.02603007	0.001378546	0.000137607								
133352.1	0.03090754	0.02920638	0.001546763	0.0001543984								
149623.6	0.03467851	0.03276979	0.00173548	0.0001732363								
167880.4	0.03891003	0.03676841	0.001947246	0.0001943748								
188364.9	0.04365783	0.04125489	0.002184849	0.0002180925								
211348.9	0.04898491	0.04628877	0.002451441	0.0002447038								
237137.3	0.05496187	0.05193676	0.002750558	0.0002745617								
266072.5	0.0616684	0.05827416	0.003086185	0.0003080641								
298538.3	0.06919303	0.06538462	0.003462753	0.0003456534								
334965.5	0.07763575	0.07336265	0.003885268	0.0003878289								
375837.4	0.08710883	0.08231433	0.004359347	0.0004351517								
421696.5	0.09773763	0.09235812	0.004891263	0.0004882478								
473151.2	0.1096634	0.1036275	0.005488086	0.0005478228								
530884.4	0.1230445	0.1162721	0.006157739	0.0006146679								
595662.1	0.1380581	0.1304593	0.006909094	0.0006896684								
668343.9	0.1549039	0.1463779	0.007752139	0.0007738215								
749894.2	0.1738048	0.1642385	0.008698031	0.0008682408								
841395.1	0.1950123	0.1842788	0.009759357	0.0009741828								
944060.9	0.2188075	0.2067642	0.01095018	0.001093051								
