S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	pi-)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	0	0	0	0								
0.9440609	0	0	0	0								
1.059254	0	0	0	0								
1.188502	0	0	0	0								
1.333521	0	0	0	0								
1.496236	0	0	0	0								
1.678804	0	0	0	0								
1.883649	0	0	0	0								
2.113489	0	0	0	0								
2.371373	0	0	0	0								
2.660725	0	0	0	0								
2.985383	0	0	0	0								
3.349655	0	0	0	0								
3.758374	0	0	0	0								
4.216965	0	0	0	0								
4.731512	0	0	0	0								
5.308844	0	0	0	0								
5.956621	0	0	0	0								
6.683439	0	0	0	0								
7.498942	0	0	0	0								
8.413951	0	0	0	0								
9.440609	0	0	0	0								
10.59254	0	0	0	0								
11.88502	2.020666E-09	0	2.016555E-09	4.110686E-12								
13.33521	6.953214E-09	0	6.938785E-09	1.442881E-11								
14.96236	1.658967E-08	0	1.655441E-08	3.526553E-11								
16.78804	3.312833E-08	0	3.305583E-08	7.250236E-11								
18.83649	5.93155E-08	0	5.918101E-08	1.344946E-10								
21.13489	9.831163E-08	0	9.807876E-08	2.328685E-10								
23.71373	1.532459E-07	0	1.528625E-07	3.834397E-10								
26.60725	2.26172E-07	0	2.255648E-07	6.071744E-10								
29.85383	3.159038E-07	0	3.149728E-07	9.310116E-10								
33.49655	4.707246E-07	4.776141E-08	4.203646E-07	2.598599E-09								
37.58374	1.760377E-06	1.199959E-06	5.502121E-07	1.020585E-08								
42.16965	4.822598E-06	4.076163E-06	7.16397E-07	3.003789E-08								
47.31512	1.059383E-05	9.597874E-06	9.283328E-07	6.762339E-08								
53.08844	2.019767E-05	1.887016E-05	1.197505E-06	1.300095E-07								
59.56621	3.490003E-05	3.313746E-05	1.537675E-06	2.248946E-07								
66.83439	5.588334E-05	5.35596E-05	1.964909E-06	3.588349E-07								
74.98942	8.373107E-05	8.070051E-05	2.497202E-06	5.333653E-07								
84.13951	0.0001173787	0.0001134881	3.153392E-06	7.372591E-07								
94.40609	0.0001520909	0.0001472085	3.950667E-06	9.317161E-07								
105.9254	0.0001834571	0.0001774551	4.92061E-06	1.081404E-06								
118.8502	0.0002153313	0.0002079881	6.129954E-06	1.213204E-06								
133.3521	0.0002527537	0.0002437358	7.657093E-06	1.360855E-06								
149.6236	0.0002964951	0.0002853921	9.576878E-06	1.526147E-06								
167.8804	0.0003473206	0.0003336373	1.197217E-05	1.71111E-06								
188.3649	0.0004058783	0.0003890356	1.492473E-05	1.91791E-06								
211.3489	0.0004725676	0.0004519213	1.849738E-05	2.148939E-06								
237.1373	0.0005473026	0.0005221976	2.269818E-05	2.406825E-06								
266.0725	0.0006291545	0.0005990457	2.741435E-05	2.694503E-06								
298.5383	0.0007157824	0.0006804743	3.229281E-05	3.015249E-06								
334.9655	0.000806166	0.000765701	3.709394E-05	3.371078E-06								
375.8374	0.0009034	0.0008574434	4.219566E-05	3.761011E-06								
421.6965	0.001010102	0.0009579126	4.800612E-05	4.183139E-06								
473.1512	0.001126302	0.001067055	5.461136E-05	4.635514E-06								
530.8844	0.001251743	0.001184528	6.210003E-05	5.114898E-06								
595.6621	0.001385892	0.001309715	7.05594E-05	5.617262E-06								
668.3439	0.0015281	0.00144189	8.007012E-05	6.139389E-06								
749.8942	0.001678028	0.001580648	9.069754E-05	6.682413E-06								
841.3951	0.001836644	0.001726902	0.0001024826	7.259233E-06								
944.0609	0.002008177	0.00188484	0.0001154285	7.908364E-06								
1059.254	0.002196091	0.002057978	0.0001294458	8.667004E-06								
1188.502	0.002395451	0.002241643	0.0001442864	9.521676E-06								
1333.521	0.002598975	0.002428969	0.0001595533	1.045213E-05								
1496.236	0.002802069	0.002615904	0.0001746988	1.146595E-05								
1678.804	0.002999137	0.002797566	0.0001889988	1.257182E-05								
1883.649	0.003183778	0.002968419	0.0002015813	1.377731E-05								
2113.489	0.003350077	0.003123404	0.0002115875	1.508619E-05								
2371.373	0.00349506	0.003260034	0.0002185341	1.649148E-05								
2660.725	0.003623594	0.003382556	0.0002230757	1.796214E-05								
2985.383	0.003757302	0.003509435	0.0002284496	1.941733E-05								
3349.655	0.003907028	0.003648918	0.0002373804	2.07296E-05								
3758.374	0.004036037	0.003767292	0.0002469708	2.17745E-05								
4216.965	0.004103861	0.003827888	0.0002535611	2.241217E-05								
4731.512	0.004092046	0.003813391	0.0002562024	2.245292E-05								
5308.844	0.003982784	0.003707131	0.0002539706	2.168248E-05								
5956.621	0.003763385	0.003497312	0.0002461781	1.9894E-05								
6683.439	0.003434786	0.003185051	0.0002327738	1.696136E-05								
7498.942	0.003026841	0.002798805	0.0002150458	1.299031E-05								
8413.951	0.002624786	0.002419331	0.0001968271	8.62857E-06								
9440.609	0.002409382	0.002217335	0.0001863896	5.658133E-06								
10592.54	0.002484039	0.002290556	0.0001883914	5.091578E-06								
11885.02	0.00271225	0.00251057	0.0001957138	5.965417E-06								
13335.21	0.002958162	0.002749279	0.0002015743	7.309331E-06								
14962.36	0.003224453	0.003009315	0.0002058051	9.332927E-06								
16788.04	0.003515369	0.003294628	0.0002084424	1.229809E-05								
18836.49	0.00383711	0.003610758	0.0002098486	1.650302E-05								
21134.89	0.004198784	0.003965632	0.0002109169	2.22345E-05								
23713.73	0.004613237	0.004370254	0.0002133251	2.965718E-05								
26607.25	0.005097888	0.004839445	0.0002198559	3.858738E-05								
29853.83	0.005674966	0.005392147	0.0002347628	4.805619E-05								
33496.55	0.006384018	0.006065893	0.0002609369	5.718767E-05								
37583.74	0.007297382	0.006932629	0.0002978975	6.685559E-05								
42169.65	0.008509905	0.00808507	0.0003466487	7.81867E-05								
47315.12	0.01013349	0.009630511	0.0004115596	9.141778E-05								
53088.44	0.01230329	0.0116986	0.000497906	0.0001067833								
59566.21	0.01516658	0.01443065	0.0006114386	0.0001244887								
66834.39	0.01885253	0.01795066	0.0007572106	0.0001446675								
74989.42	0.02340524	0.02230095	0.0009369759	0.0001673076								
84139.51	0.02865024	0.02731409	0.001144008	0.0001921382								
94406.09	0.03394027	0.0323686	0.001353226	0.000218448								
105925.4	0.03870213	0.0369137	0.001542431	0.0002459968								
118850.2	0.04342468	0.04141802	0.001730643	0.0002760141								
133352.1	0.04872355	0.04647203	0.001941823	0.0003096945								
149623.6	0.05466821	0.05214198	0.002178741	0.0003474797								
167880.4	0.0613389	0.05850442	0.002444594	0.0003898797								
188364.9	0.06882348	0.06564315	0.002742884	0.0004374529								
211348.9	0.07722124	0.07365284	0.003077567	0.0004908304								
237137.3	0.0866435	0.0826397	0.003453081	0.0005507197								
266072.5	0.09721587	0.09272352	0.003874431	0.0006179194								
298538.3	0.1090779	0.1040374	0.00434718	0.0006933163								
334965.5	0.1223873	0.1167317	0.004877609	0.0007779127								
375837.4	0.1373209	0.1309753	0.005472773	0.0008728333								
421696.5	0.1540764	0.1469566	0.006140547	0.0009793342								
473151.2	0.1728766	0.1648879	0.006889805	0.001098831								
530884.4	0.1939709	0.1850075	0.007730495	0.001232909								
595662.1	0.2176388	0.2075817	0.008673754	0.001383347								
668343.9	0.244195	0.2329107	0.009732123	0.001552142								
749894.2	0.2739909	0.2613298	0.01091961	0.00174153								
841395.1	0.3074231	0.293217	0.01225201	0.001954029								
944060.9	0.3449345	0.328995	0.01374698	0.002192458								
