S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	pi+)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	1.039022E-09	1.000638E-09	0	3.838408E-11								
0.9440609	3.320049E-09	3.154817E-09	0	1.652317E-10								
1.059254	6.295208E-09	5.969698E-09	0	3.255106E-10								
1.188502	1.027003E-08	9.730261E-09	0	5.39772E-10								
1.333521	1.554211E-08	1.471759E-08	0	8.24521E-10								
1.496236	2.247595E-08	2.127595E-08	0	1.200005E-09								
1.678804	3.152512E-08	2.98334E-08	0	1.691715E-09								
1.883649	4.324963E-08	4.091793E-08	0	2.331699E-09								
2.113489	5.833598E-08	5.517574E-08	0	3.160239E-09								
2.371373	7.761411E-08	7.338633E-08	0	4.227781E-09								
2.660725	1.020699E-07	9.647259E-08	0	5.597288E-09								
2.985383	1.328409E-07	1.25494E-07	0	7.346813E-09								
3.349655	1.712706E-07	1.616895E-07	3.628533E-12	9.577485E-09								
3.758374	2.191418E-07	2.066269E-07	9.164033E-11	1.242329E-08								
4.216965	2.786531E-07	2.622878E-07	3.137994E-10	1.605148E-08								
4.731512	3.525471E-07	3.311338E-07	7.463562E-10	2.066692E-08								
5.308844	4.443415E-07	4.163312E-07	1.48611E-09	2.652423E-08								
5.956621	5.586852E-07	5.220953E-07	2.652477E-09	3.393747E-08								
6.683439	7.019483E-07	6.542781E-07	4.379841E-09	4.32904E-08								
7.498942	8.831941E-07	8.213544E-07	6.79472E-09	5.504499E-08								
8.413951	1.115829E-06	1.036118E-06	9.964061E-09	6.974705E-08								
9.440609	1.420346E-06	1.318534E-06	1.378996E-08	8.802183E-08								
10.59254	1.823211E-06	1.694403E-06	1.814236E-08	1.106656E-07								
11.88502	2.352539E-06	2.190503E-06	2.323766E-08	1.387985E-07								
13.33521	3.044165E-06	2.84094E-06	2.941957E-08	1.738058E-07								
14.96236	3.949109E-06	3.694893E-06	3.690611E-08	2.173103E-07								
16.78804	5.134427E-06	4.817102E-06	4.599901E-08	2.713259E-07								
18.83649	6.687483E-06	6.291995E-06	5.714706E-08	3.383409E-07								
21.13489	8.721638E-06	8.229105E-06	7.106939E-08	4.214637E-07								
23.71373	1.138262E-05	1.076904E-05	8.897442E-08	5.246108E-07								
26.60725	1.48556E-05	1.408986E-05	1.129484E-07	6.527895E-07								
29.85383	1.937152E-05	1.841239E-05	1.466282E-07	8.125033E-07								
33.49655	2.534491E-05	2.413192E-05	1.985825E-07	1.014402E-06								
37.58374	3.351926E-05	3.195927E-05	2.848042E-07	1.275181E-06								
42.16965	4.48151E-05	4.27751E-05	4.256034E-07	1.614405E-06								
47.31512	6.025387E-05	5.755552E-05	6.450348E-07	2.053313E-06								
53.08844	8.104133E-05	7.745209E-05	9.735935E-07	2.615643E-06								
59.56621	0.0001084775	0.000103705	1.447559E-06	3.324898E-06								
66.83439	0.0001437249	0.0001374208	2.10578E-06	4.198249E-06								
74.98942	0.0001873094	0.0001790939	2.981305E-06	5.234241E-06								
84.13951	0.0002381436	0.0002276704	4.083458E-06	6.38971E-06								
94.40609	0.0002916921	0.0002787922	5.362344E-06	7.537509E-06								
105.9254	0.000344276	0.0003289418	6.779063E-06	8.555056E-06								
118.8502	0.0004005072	0.0003825799	8.449006E-06	9.478328E-06								
133.3521	0.0004659137	0.0004450488	1.0524E-05	1.034094E-05								
149.6236	0.0005416748	0.0005175226	1.308825E-05	1.106394E-05								
167.8804	0.0006289555	0.0006011742	1.623273E-05	1.154864E-05								
188.3649	0.0007287433	0.000697013	2.004518E-05	1.168515E-05								
211.3489	0.0008416851	0.0008057137	2.45921E-05	1.137925E-05								
237.1373	0.0009677995	0.0009273041	2.988372E-05	1.061175E-05								
266.0725	0.001106078	0.001060707	3.58117E-05	9.559045E-06								
298.5383	0.001253873	0.001203023	4.20388E-05	8.810734E-06								
334.9655	0.001409637	0.001352435	4.836899E-05	8.8327E-06								
375.8374	0.001575582	0.00151109	5.523589E-05	9.257068E-06								
421.6965	0.001752617	0.001679885	6.309108E-05	9.640478E-06								
473.1512	0.001938084	0.001856048	7.2057E-05	9.979502E-06								
530.8844	0.00212816	0.002035624	8.22582E-05	1.02777E-05								
595.6621	0.002318082	0.002213718	9.381397E-05	1.054918E-05								
668.3439	0.002503073	0.002385423	0.000106828	1.082252E-05								
749.8942	0.002680558	0.002548044	0.0001213711	1.114364E-05								
841.3951	0.0028549	0.002705863	0.0001374613	1.157571E-05								
944.0609	0.003046463	0.002879241	0.0001550315	1.219106E-05								
1059.254	0.003273617	0.003086741	0.0001738893	1.29866E-05								
1188.502	0.00351994	0.003312412	0.0001936675	1.386111E-05								
1333.521	0.003762942	0.003534415	0.0002137721	1.475467E-05								
1496.236	0.003996607	0.00374759	0.0002333434	1.567414E-05								
1678.804	0.004214505	0.003946618	0.0002512544	1.663323E-05								
1883.649	0.004410265	0.004126452	0.0002661616	1.765098E-05								
2113.489	0.004579343	0.004283842	0.0002767528	1.874844E-05								
2371.373	0.004721821	0.004419575	0.0002823102	1.993616E-05								
2660.725	0.004847381	0.004542309	0.0002838859	2.118629E-05								
2985.383	0.004983475	0.004674577	0.0002865244	2.237376E-05								
3349.655	0.005136696	0.004818967	0.0002944302	2.329848E-05								
3758.374	0.005252543	0.004925543	0.0003031648	2.383539E-05								
4216.965	0.005277329	0.004946245	0.0003071913	2.389304E-05								
4731.512	0.005187517	0.004859022	0.0003051696	2.332513E-05								
5308.844	0.004961728	0.004643923	0.0002958195	2.198521E-05								
5956.621	0.00458705	0.004289055	0.0002782359	1.975929E-05								
6683.439	0.004070579	0.003801475	0.0002524747	1.663002E-05								
7498.942	0.003459653	0.003226262	0.0002205922	1.279793E-05								
8413.951	0.002876103	0.002678762	0.0001884291	8.911674E-06								
9440.609	0.002564898	0.002390146	0.0001683108	6.441183E-06								
10592.54	0.002655441	0.002482447	0.0001668571	6.136357E-06								
11885.02	0.002963033	0.002781944	0.0001739551	7.133273E-06								
13335.21	0.003306158	0.003117534	0.0001800142	8.609662E-06								
14962.36	0.003689327	0.003493595	0.0001849566	1.077512E-05								
16788.04	0.004118019	0.003915235	0.000188891	1.389278E-05								
18836.49	0.004598594	0.004388119	0.0001922094	1.82655E-05								
21134.89	0.005138679	0.004918742	0.0001957451	2.419258E-05								
23713.73	0.005747318	0.005514499	0.0002009522	3.186662E-05								
26607.25	0.006435132	0.00618386	0.0002101109	4.116108E-05								
29853.83	0.007214078	0.006936345	0.0002265148	5.1218E-05								
33496.55	0.008101134	0.007787063	0.0002528051	6.126612E-05								
37583.74	0.009123899	0.008761629	0.0002900907	7.217926E-05								
42169.65	0.01031901	0.00989284	0.0003410784	8.509183E-05								
47315.12	0.01173261	0.01122117	0.0004111258	0.0001003136								
53088.44	0.01342635	0.01280148	0.0005067196	0.0001181554								
59566.21	0.0154822	0.01470837	0.0006349321	0.0001388922								
66834.39	0.01800808	0.01704344	0.0008019419	0.0001626986								
74989.42	0.02114373	0.01994444	0.001009756	0.0001895352								
84139.51	0.02506624	0.0235976	0.001249679	0.0002189649								
94406.09	0.02999196	0.02825225	0.001489869	0.0002498454								
105925.4	0.03622222	0.03423858	0.001701992	0.0002816485								
118850.2	0.04421359	0.0419879	0.001909675	0.0003160161								
133352.1	0.05454738	0.0520501	0.002142701	0.0003545778								
149623.6	0.06790726	0.06510529	0.002404128	0.0003978391								
167880.4	0.08510412	0.08196026	0.002697483	0.000446384								
188364.9	0.1070239	0.1034965	0.003026631	0.0005008519								
211348.9	0.1345034	0.1305455	0.003395936	0.0005619652								
237137.3	0.1680519	0.163611	0.003810296	0.0006305342								
266072.5	0.2073048	0.2023221	0.004275234	0.0007074729								
298538.3	0.2499923	0.2444016	0.004796888	0.000793797								
334965.5	0.2900732	0.2838003	0.005382189	0.0008906536								
375837.4	0.3143556	0.3073173	0.006038922	0.0009993308								
421696.5	0.296083	0.288186	0.006775776	0.001121267								
473151.2	0.1759135	0.1670529	0.007602543	0.001258081								
530884.4	0.009941793	0	0.008530201	0.001411592								
595662.1	0.01115487	0	0.009571039	0.001583832								
668343.9	0.01251598	0	0.01073889	0.00177709								
749894.2	0.01404315	0	0.01204922	0.001993925								
841395.1	0.01575668	0	0.01351946	0.002237222								
944060.9	0.01767929	0	0.01516908	0.002510205								
