S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	alphas)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	0	0	0	0								
0.9440609	0	0	0	0								
1.059254	0	0	0	0								
1.188502	0	0	0	0								
1.333521	0	0	0	0								
1.496236	0	0	0	0								
1.678804	0	0	0	0								
1.883649	0	0	0	0								
2.113489	0	0	0	0								
2.371373	0	0	0	0								
2.660725	0	0	0	0								
2.985383	0	0	0	0								
3.349655	0	0	0	0								
3.758374	0	0	0	0								
4.216965	0	0	0	0								
4.731512	0	0	0	0								
5.308844	5.446656E-10	0	5.446656E-10	0								
5.956621	2.992842E-09	0	2.992842E-09	0								
6.683439	6.287592E-09	0	6.287592E-09	0								
7.498942	1.339954E-08	0	1.339954E-08	0								
8.413951	2.830787E-08	0	2.830787E-08	0								
9.440609	4.622708E-08	0	4.622708E-08	0								
10.59254	5.925516E-08	0	5.925516E-08	0								
11.88502	6.77302E-08	0	6.77302E-08	0								
13.33521	7.688961E-08	0	7.688961E-08	0								
14.96236	9.546986E-08	0	9.546986E-08	0								
16.78804	1.60429E-07	3.480923E-08	1.256198E-07	0								
18.83649	4.188914E-07	2.591624E-07	1.597289E-07	0								
21.13489	8.625472E-07	6.762108E-07	1.863364E-07	0								
23.71373	1.417745E-06	1.228871E-06	1.88874E-07	0								
26.60725	2.147353E-06	1.966328E-06	1.724268E-07	8.598039E-09								
29.85383	3.155803E-06	2.943279E-06	1.601849E-07	5.233973E-08								
33.49655	4.510548E-06	4.228553E-06	1.669061E-07	1.150891E-07								
37.58374	6.286333E-06	5.909659E-06	1.777782E-07	1.988953E-07								
42.16965	8.588829E-06	8.098241E-06	1.799875E-07	3.10601E-07								
47.31512	1.15797E-05	1.093726E-05	1.840517E-07	4.583831E-07								
53.08844	1.545661E-05	1.461452E-05	1.896383E-07	6.524483E-07								
59.56621	2.057526E-05	1.946908E-05	2.024126E-07	9.037649E-07								
66.83439	2.6892E-05	2.542974E-05	2.239258E-07	1.23833E-06								
74.98942	3.29465E-05	3.098278E-05	2.443018E-07	1.719425E-06								
84.13951	3.964479E-05	3.691324E-05	2.584127E-07	2.473137E-06								
94.40609	5.11885E-05	4.753692E-05	2.786774E-07	3.3729E-06								
105.9254	6.468258E-05	6.030936E-05	3.110572E-07	4.062156E-06								
118.8502	7.655038E-05	7.158352E-05	3.501089E-07	4.616746E-06								
133.3521	9.029294E-05	8.466816E-05	3.943113E-07	5.230466E-06								
149.6236	0.0001066183	0.0001001655	4.397538E-07	6.013014E-06								
167.8804	0.0001255101	0.0001178252	4.638986E-07	7.221045E-06								
188.3649	0.0001465853	0.0001372739	4.637595E-07	8.847662E-06								
211.3489	0.000166792	0.0001558618	4.791456E-07	1.0451E-05								
237.1373	0.0001849074	0.0001724012	5.187707E-07	1.198739E-05								
266.0725	0.000202721	0.0001884913	5.647331E-07	1.366491E-05								
298.5383	0.0002211595	0.0002051534	6.039787E-07	1.540212E-05								
334.9655	0.0002400063	0.0002224628	6.12337E-07	1.693118E-05								
375.8374	0.0002576592	0.0002389804	6.060742E-07	1.807271E-05								
421.6965	0.0002733393	0.0002538513	6.463874E-07	1.884156E-05								
473.1512	0.000286788	0.0002671383	7.407432E-07	1.890895E-05								
530.8844	0.0002994016	0.0002804062	8.619419E-07	1.813348E-05								
595.6621	0.0003166388	0.0002982705	1.001645E-06	1.736664E-05								
668.3439	0.0003466012	0.0003273905	1.141581E-06	1.806912E-05								
749.8942	0.0003882388	0.0003667966	1.282325E-06	2.015992E-05								
841.3951	0.0004356114	0.0004115528	1.438793E-06	2.261982E-05								
944.0609	0.0004887642	0.00046177	1.614353E-06	2.537986E-05								
1059.254	0.0005484002	0.0005181123	1.811326E-06	2.847656E-05								
1188.502	0.0006153176	0.0005813339	2.03235E-06	3.195135E-05								
1333.521	0.0006904014	0.0006522709	2.280346E-06	3.58502E-05								
1496.236	0.0007746358	0.0007318531	2.558566E-06	4.022421E-05								
1678.804	0.000869158	0.0008211548	2.870766E-06	4.513242E-05								
1883.649	0.0009752128	0.0009213523	3.221058E-06	5.063949E-05								
2113.489	0.001094207	0.001033775	3.614087E-06	5.681846E-05								
2371.373	0.001227718	0.001159912	4.055065E-06	6.375124E-05								
2660.725	0.001377526	0.001301446	4.549871E-06	7.153026E-05								
2985.383	0.001545609	0.001460245	5.105034E-06	8.025821E-05								
3349.655	0.001734199	0.00163842	5.727935E-06	9.005107E-05								
3758.374	0.001945805	0.001838339	6.426855E-06	0.0001010391								
4216.965	0.002183228	0.002062649	7.211044E-06	0.0001133676								
4731.512	0.002449621	0.00231433	8.090922E-06	0.0001272005								
5308.844	0.002748522	0.002596723	9.078172E-06	0.0001427214								
5956.621	0.003083892	0.00291357	1.018587E-05	0.000160136								
6683.439	0.003460187	0.003269082	1.142875E-05	0.0001796757								
7498.942	0.003882388	0.003667966	1.282325E-05	0.0002015992								
8413.951	0.004356114	0.004115528	1.438793E-05	0.0002261982								
9440.609	0.004887642	0.0046177	1.614353E-05	0.0002537986								
10592.54	0.005484002	0.005181123	1.811326E-05	0.0002847656								
11885.02	0.006153176	0.005813339	2.03235E-05	0.0003195135								
13335.21	0.006904014	0.006522709	2.280346E-05	0.000358502								
14962.36	0.007746358	0.007318531	2.558566E-05	0.0004022421								
16788.04	0.00869158	0.008211548	2.870766E-05	0.0004513242								
18836.49	0.009752128	0.009213523	3.221058E-05	0.0005063949								
21134.89	0.01094207	0.01033775	3.614087E-05	0.0005681846								
23713.73	0.01227718	0.01159912	4.055065E-05	0.0006375124								
26607.25	0.01377526	0.01301446	4.549871E-05	0.0007153026								
29853.83	0.01545609	0.01460245	5.105034E-05	0.0008025821								
33496.55	0.01734199	0.0163842	5.727935E-05	0.0009005107								
37583.74	0.01945805	0.01838339	6.426855E-05	0.001010391								
42169.65	0.02183228	0.02062649	7.211044E-05	0.001133676								
47315.12	0.02449621	0.0231433	8.090922E-05	0.001272005								
53088.44	0.02748522	0.02596723	9.078172E-05	0.001427214								
59566.21	0.03083892	0.0291357	0.0001018587	0.00160136								
66834.39	0.03460187	0.03269082	0.0001142875	0.001796757								
74989.42	0.03882388	0.03667966	0.0001282325	0.002015992								
84139.51	0.04356114	0.04115528	0.0001438793	0.002261982								
94406.09	0.04887642	0.046177	0.0001614353	0.002537986								
105925.4	0.05484002	0.05181123	0.0001811326	0.002847656								
118850.2	0.06153176	0.05813339	0.000203235	0.003195135								
133352.1	0.06904014	0.06522709	0.0002280346	0.00358502								
149623.6	0.07746358	0.07318531	0.0002558566	0.004022421								
167880.4	0.0869158	0.08211548	0.0002870766	0.004513242								
188364.9	0.09752128	0.09213523	0.0003221058	0.005063949								
211348.9	0.1094207	0.1033775	0.0003614087	0.005681846								
237137.3	0	0	0	0								
266072.5	0	0	0	0								
298538.3	0	0	0	0								
334965.5	0	0	0	0								
375837.4	0	0	0	0								
421696.5	0	0	0	0								
473151.2	0	0	0	0								
530884.4	0	0	0	0								
595662.1	0	0	0	0								
668343.9	0	0	0	0								
749894.2	0	0	0	0								
841395.1	0	0	0	0								
944060.9	0	0	0	0								
