S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	neutrons)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	0	0	0	0								
0.9440609	0	0	0	0								
1.059254	0	0	0	0								
1.188502	0	0	0	0								
1.333521	0	0	0	0								
1.496236	0	0	0	0								
1.678804	0	0	0	0								
1.883649	0	0	0	0								
2.113489	0	0	0	0								
2.371373	0	0	0	0								
2.660725	0	0	0	0								
2.985383	0	0	0	0								
3.349655	0	0	0	0								
3.758374	0	0	0	0								
4.216965	0	0	0	0								
4.731512	0	0	0	0								
5.308844	0	0	0	0								
5.956621	0	0	0	0								
6.683439	0	0	0	0								
7.498942	0	0	0	0								
8.413951	0	0	0	0								
9.440609	0	0	0	0								
10.59254	0	0	0	0								
11.88502	0	0	0	0								
13.33521	0	0	0	0								
14.96236	0	0	0	0								
16.78804	0	0	0	0								
18.83649	0	0	0	0								
21.13489	0	0	0	0								
23.71373	7.200995E-09	0	0	7.200995E-09								
26.60725	1.511296E-08	0	0	1.511296E-08								
29.85383	3.219197E-08	0	0	3.219197E-08								
33.49655	6.911059E-08	0	0	6.911059E-08								
37.58374	1.143518E-07	0	0	1.143518E-07								
42.16965	1.473228E-07	0	0	1.473228E-07								
47.31512	1.684689E-07	0	0	1.684689E-07								
53.08844	1.905363E-07	0	0	1.905363E-07								
59.56621	2.359425E-07	0	0	2.359425E-07								
66.83439	3.108938E-07	0	0	3.108938E-07								
74.98942	8.843418E-07	4.876194E-07	0	3.967223E-07								
84.13951	1.778706E-06	1.313431E-06	0	4.652749E-07								
94.40609	2.878999E-06	2.405604E-06	0	4.733949E-07								
105.9254	4.295245E-06	3.86327E-06	0	4.319751E-07								
118.8502	6.294798E-06	5.794945E-06	1.002009E-07	3.996519E-07								
133.3521	8.977289E-06	8.336958E-06	2.242674E-07	4.160635E-07								
149.6236	1.249629E-05	1.166237E-05	3.898813E-07	4.440352E-07								
167.8804	1.705258E-05	1.599249E-05	6.106964E-07	4.493948E-07								
188.3649	2.297251E-05	2.161016E-05	9.029158E-07	4.59436E-07								
211.3489	3.063861E-05	2.887892E-05	1.286921E-06	4.727707E-07								
237.1373	4.07896E-05	3.850204E-05	1.78365E-06	5.039014E-07								
266.0725	5.344603E-05	5.044573E-05	2.442561E-06	5.577369E-07								
298.5383	6.552692E-05	6.153272E-05	3.384958E-06	6.092399E-07								
334.9655	7.857547E-05	7.305131E-05	4.880182E-06	6.439757E-07								
375.8374	0.0001015137	9.412639E-05	6.693742E-06	6.935456E-07								
421.6965	0.0001286331	0.0001197775	8.081772E-06	7.738721E-07								
473.1512	0.000152247	0.0001421895	9.186499E-06	8.709908E-07								
530.8844	0.0001795594	0.000168176	1.040213E-05	9.812588E-07								
595.6621	0.000212039	0.0001990056	1.193677E-05	1.09663E-06								
668.3439	0.0002496565	0.0002341758	1.432149E-05	1.15923E-06								
749.8942	0.0002918405	0.0002731086	1.757436E-05	1.157532E-06								
841.3951	0.0003323928	0.0003104141	2.078484E-05	1.193835E-06								
944.0609	0.0003686496	0.0003435112	2.384611E-05	1.292261E-06								
1059.254	0.0004042355	0.0003756335	2.719448E-05	1.407605E-06								
1188.502	0.0004410838	0.0004088941	3.068126E-05	1.508391E-06								
1333.521	0.0004788477	0.0004435517	3.376523E-05	1.530779E-06								
1496.236	0.0005142634	0.0004766804	3.607199E-05	1.511006E-06								
1678.804	0.0005457877	0.0005065234	3.765727E-05	1.607022E-06								
1883.649	0.000572791	0.0005330976	3.785295E-05	1.840436E-06								
2113.489	0.0005977629	0.0005593153	3.630598E-05	2.141611E-06								
2371.373	0.0006313958	0.0005942365	3.466864E-05	2.490666E-06								
2660.725	0.0006905378	0.000651722	3.597544E-05	2.84032E-06								
2985.383	0.0007734425	0.0007301227	4.01291E-05	3.190646E-06								
3349.655	0.0008678155	0.00081921	4.502553E-05	3.579959E-06								
3758.374	0.0009737061	0.0009191697	5.051953E-05	4.016784E-06								
4216.965	0.001092515	0.001031325	5.66838E-05	4.506902E-06								
4731.512	0.001225822	0.001157165	6.360025E-05	5.056826E-06								
5308.844	0.001375396	0.001298361	7.136071E-05	5.673857E-06								
5956.621	0.001543219	0.001456785	8.0068E-05	6.36617E-06								
6683.439	0.001731522	0.001634541	8.983787E-05	7.142968E-06								
7498.942	0.001942797	0.001833983	0.0001007996	8.014531E-06								
8413.951	0.002179855	0.002057764	0.0001130991	8.992456E-06								
9440.609	0.002445839	0.00230885	0.0001268993	1.008971E-05								
10592.54	0.002744265	0.002590562	0.0001423828	1.132079E-05								
11885.02	0.003079129	0.00290667	0.0001597568	1.270219E-05								
13335.21	0.003454857	0.003261354	0.000179251	1.425216E-05								
14962.36	0.003876377	0.003659265	0.000201121	1.599104E-05								
16788.04	0.004349378	0.004105774	0.0002256621	1.794229E-05								
18836.49	0.00488009	0.004606761	0.0002531974	2.013161E-05								
21134.89	0.005475553	0.005168873	0.0002840923	2.258805E-05								
23713.73	0.006143661	0.00579956	0.0003187562	2.534416E-05								
26607.25	0.006893319	0.006507231	0.0003576513	2.843669E-05								
29853.83	0.007734425	0.007301227	0.000401291	3.190646E-05								
33496.55	0.008678155	0.0081921	0.0004502553	3.579959E-05								
37583.74	0.009737061	0.009191697	0.0005051953	4.016784E-05								
42169.65	0.01092515	0.01031325	0.000566838	4.506902E-05								
47315.12	0.01225822	0.01157165	0.0006360025	5.056826E-05								
53088.44	0.01375396	0.01298361	0.0007136071	5.673857E-05								
59566.21	0.01543219	0.01456785	0.00080068	6.36617E-05								
66834.39	0.01731522	0.01634541	0.0008983787	7.142968E-05								
74989.42	0.01942797	0.01833983	0.001007996	8.014531E-05								
84139.51	0.02179855	0.02057764	0.001130991	8.992456E-05								
94406.09	0.02445839	0.0230885	0.001268993	0.0001008971								
105925.4	0.02744265	0.02590562	0.001423828	0.0001132079								
118850.2	0.03079129	0.0290667	0.001597568	0.0001270219								
133352.1	0.03454857	0.03261354	0.00179251	0.0001425216								
149623.6	0.03876377	0.03659265	0.00201121	0.0001599104								
167880.4	0.04349378	0.04105774	0.002256621	0.0001794229								
188364.9	0.0488009	0.04606761	0.002531974	0.0002013161								
211348.9	0.05475553	0.05168873	0.002840923	0.0002258805								
237137.3	0.06143661	0.0579956	0.003187562	0.0002534416								
266072.5	0.06893319	0.06507231	0.003576513	0.0002843669								
298538.3	0.07734425	0.07301227	0.00401291	0.0003190646								
334965.5	0.08678155	0.081921	0.004502553	0.0003579959								
375837.4	0.09737061	0.09191697	0.005051953	0.0004016784								
421696.5	0.1092515	0.1031325	0.00566838	0.0004506902								
473151.2	0.1225822	0.1157165	0.006360025	0.0005056826								
530884.4	0.1375396	0.1298361	0.007136071	0.0005673857								
595662.1	0.1543219	0.1456785	0.0080068	0.000636617								
668343.9	0.1731522	0.1634541	0.008983787	0.0007142968								
749894.2	0.1942797	0.1833983	0.01007996	0.0008014531								
841395.1	0.2179855	0.2057764	0.01130991	0.0008992456								
944060.9	0.2445839	0.230885	0.01268993	0.001008971								
