S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	pi-)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	0	0	0	0								
0.9440609	0	0	0	0								
1.059254	0	0	0	0								
1.188502	0	0	0	0								
1.333521	0	0	0	0								
1.496236	0	0	0	0								
1.678804	0	0	0	0								
1.883649	0	0	0	0								
2.113489	0	0	0	0								
2.371373	0	0	0	0								
2.660725	0	0	0	0								
2.985383	0	0	0	0								
3.349655	0	0	0	0								
3.758374	0	0	0	0								
4.216965	0	0	0	0								
4.731512	0	0	0	0								
5.308844	0	0	0	0								
5.956621	0	0	0	0								
6.683439	0	0	0	0								
7.498942	0	0	0	0								
8.413951	0	0	0	0								
9.440609	0	0	0	0								
10.59254	0	0	0	0								
11.88502	2.340737E-09	0	2.336942E-09	3.79448E-12								
13.33521	8.054528E-09	0	8.041209E-09	1.33189E-11								
14.96236	1.92171E-08	0	1.918455E-08	3.25528E-11								
16.78804	3.837461E-08	0	3.830769E-08	6.692525E-11								
18.83649	6.870774E-08	0	6.858359E-08	1.241489E-10								
21.13489	1.138763E-07	0	1.136614E-07	2.149555E-10								
23.71373	1.77503E-07	0	1.771491E-07	3.539443E-10								
26.60725	2.619627E-07	0	2.614022E-07	5.604687E-10								
29.85383	3.658746E-07	0	3.650152E-07	8.593953E-10								
33.49655	5.428834E-07	5.333317E-08	4.871515E-07	2.398706E-09								
37.58374	1.986994E-06	1.339944E-06	6.37629E-07	9.420785E-09								
42.16965	5.409625E-06	4.551681E-06	8.302171E-07	2.772728E-08								
47.31512	1.185579E-05	1.071755E-05	1.075825E-06	6.242159E-08								
53.08844	2.257929E-05	2.107152E-05	1.387763E-06	1.200088E-07								
59.56621	3.899278E-05	3.700321E-05	1.781978E-06	2.07595E-07								
66.83439	6.241609E-05	5.980776E-05	2.277091E-06	3.312322E-07								
74.98942	9.350117E-05	9.011488E-05	2.893954E-06	4.923372E-07								
84.13951	0.0001310623	0.0001267274	3.654398E-06	6.805468E-07								
94.40609	0.0001698199	0.0001643815	4.578344E-06	8.600456E-07								
105.9254	0.0002048572	0.0001981566	5.702389E-06	9.982187E-07								
118.8502	0.0002404754	0.0002322516	7.103872E-06	1.119881E-06								
133.3521	0.0002822993	0.0002721695	8.873641E-06	1.256174E-06								
149.6236	0.0003311926	0.0003186854	1.109844E-05	1.408751E-06								
167.8804	0.0003880126	0.0003725588	1.387429E-05	1.579486E-06								
188.3649	0.0004534861	0.0004344198	1.729595E-05	1.770378E-06								
211.3489	0.0005280614	0.0005046416	2.143621E-05	1.983636E-06								
237.1373	0.0006116423	0.0005831162	2.630443E-05	2.221685E-06								
266.0725	0.0007031864	0.0006689293	3.17699E-05	2.487233E-06								
298.5383	0.0008000639	0.0007598572	3.742345E-05	2.783307E-06								
334.9655	0.0009011254	0.0008550263	4.298737E-05	3.111764E-06								
375.8374	0.001009842	0.0009574711	4.889964E-05	3.471702E-06								
421.6965	0.001129156	0.001069661	5.563326E-05	3.861359E-06								
473.1512	0.001259103	0.001191536	6.328793E-05	4.278936E-06								
530.8844	0.001399401	0.001322713	7.196639E-05	4.721445E-06								
595.6621	0.001549459	0.001462504	8.176977E-05	5.185165E-06								
668.3439	0.001708557	0.001610099	9.279154E-05	5.667128E-06								
749.8942	0.001876319	0.001765043	0.0001051074	6.168381E-06								
841.3951	0.002053825	0.001928359	0.0001187649	6.700831E-06								
944.0609	0.00224579	0.002104722	0.0001337676	7.300029E-06								
1059.254	0.002456071	0.002298058	0.000150012	8.000312E-06								
1188.502	0.002679148	0.002503148	0.0001672104	8.789239E-06								
1333.521	0.002906879	0.002712328	0.0001849029	9.648123E-06								
1496.236	0.00313411	0.002921071	0.0002024547	1.058396E-05								
1678.804	0.003354557	0.003123925	0.0002190266	1.160476E-05								
1883.649	0.003561035	0.003314709	0.0002336083	1.271752E-05								
2113.489	0.003746904	0.003487774	0.0002452042	1.392572E-05								
2371.373	0.003908821	0.003640344	0.0002532545	1.522291E-05								
2660.725	0.004052257	0.003777159	0.0002585176	1.658043E-05								
2985.383	0.004201508	0.003918839	0.0002647453	1.792369E-05								
3349.655	0.004368824	0.004074594	0.000275095	1.913502E-05								
3758.374	0.004513086	0.004206777	0.0002862091	2.009954E-05								
4216.965	0.004588977	0.004274443	0.0002938465	2.068815E-05								
4731.512	0.004575887	0.004258254	0.0002969075	2.072577E-05								
5308.844	0.004453934	0.004139598	0.000294321	2.001459E-05								
5956.621	0.004208957	0.003905302	0.0002852905	1.836369E-05								
6683.439	0.003842026	0.003556613	0.0002697565	1.565664E-05								
7498.942	0.003386512	0.003125309	0.000249212	1.199105E-05								
8413.951	0.002937629	0.002701565	0.0002280987	7.964834E-06								
9440.609	0.002697231	0.002476005	0.0002160029	5.222892E-06								
10592.54	0.00278079	0.002557768	0.0002183227	4.699918E-06								
11885.02	0.003035764	0.002803449	0.0002268085	5.506539E-06								
13335.21	0.003310352	0.003070004	0.0002336001	6.747075E-06								
14962.36	0.003607495	0.003360377	0.0002385031	8.61501E-06								
16788.04	0.003931885	0.003678974	0.0002415594	1.135209E-05								
18836.49	0.004290405	0.004031983	0.000243189	1.523355E-05								
21134.89	0.004693207	0.004428256	0.0002444271	2.052415E-05								
23713.73	0.005154674	0.00488008	0.0002472179	2.737586E-05								
26607.25	0.005694411	0.005404005	0.0002547863	3.561912E-05								
29853.83	0.006337606	0.006021185	0.0002720616	4.435956E-05								
33496.55	0.007128712	0.006773529	0.0003023941	5.278862E-05								
37583.74	0.008148316	0.007741377	0.000345227	6.171285E-05								
42169.65	0.009502156	0.00902826	0.0004017238	7.217234E-05								
47315.12	0.01131532	0.01075399	0.0004769476	8.438564E-05								
53088.44	0.01373892	0.01306333	0.0005770126	9.856916E-05								
59566.21	0.0169376	0.0161141	0.0007085831	0.0001149126								
66834.39	0.0210558	0.02004475	0.0008775151	0.0001335392								
74989.42	0.02614282	0.02490254	0.001085841	0.0001544377								
84139.51	0.03200363	0.03050051	0.001325767	0.0001773583								
94406.09	0.03791453	0.03614466	0.001568225	0.0002016443								
105925.4	0.04323455	0.04121998	0.00178749	0.000227074								
118850.2	0.04851016	0.04624977	0.002005604	0.0002547822								
133352.1	0.05442958	0.05189337	0.002250337	0.0002858719								
149623.6	0.06107042	0.05822477	0.002524896	0.0003207505								
167880.4	0.06852232	0.06532944	0.002832987	0.0003598889								
188364.9	0.07688343	0.07330096	0.003178669	0.0004038027								
211348.9	0.08626465	0.08224505	0.003566527	0.0004530742								
237137.3	0.09679035	0.0922803	0.004001701	0.0005083567								
266072.5	0.1086009	0.1035405	0.004489995	0.0005703871								
298538.3	0.1218521	0.1161742	0.005037853	0.0006399843								
334965.5	0.1367201	0.1303494	0.005652556	0.0007180732								
375837.4	0.1534026	0.1462546	0.006342279	0.0008056922								
421696.5	0.1721204	0.1641003	0.007116148	0.0009040008								
473151.2	0.1931222	0.1841235	0.007984446	0.001014305								
530884.4	0.2166869	0.2065901	0.008958704	0.00113807								
595662.1	0.2431266	0.2317978	0.01005183	0.001276935								
668343.9	0.2727928	0.2600817	0.01127835	0.001432746								
749894.2	0.3060781	0.2918161	0.0126545	0.001607566								
841395.1	0.3434255	0.3274232	0.01419859	0.001803719								
944060.9	0.3853299	0.367375	0.01593108	0.002023807								
