Modulation potential from Wu et al, 2018
Year phi[MV]
9.94809e+2 4.69420e+2
1.00460e+3 3.80682e+2
1.01481e+3 3.80682e+2
1.02250e+3 3.10992e+2
1.03566e+3 2.33869e+2
1.04457e+3 2.15285e+2
1.05469e+3 2.48736e+2
1.06608e+3 3.14709e+2
1.08406e+3 4.61522e+2
1.09414e+3 5.10769e+2
1.10368e+3 5.10769e+2
1.12360e+3 4.49907e+2
1.13370e+3 4.92650e+2
1.14388e+3 5.03336e+2
1.15501e+3 4.21102e+2
1.16457e+3 4.13668e+2
1.17474e+3 4.30858e+2
1.18430e+3 4.21566e+2
1.19451e+3 4.24818e+2
1.20457e+3 4.80570e+2
1.21494e+3 4.28071e+2
1.22384e+3 4.11810e+2
1.23408e+3 4.02053e+2
1.24561e+3 4.21566e+2
1.25432e+3 4.72208e+2
1.25921e+3 4.27141e+2
1.26977e+3 3.06346e+2
1.27470e+3 2.48271e+2
1.28500e+3 2.21324e+2
1.29522e+3 2.20395e+2
1.30480e+3 2.04599e+2
1.31571e+3 1.98094e+2
1.32386e+3 2.09245e+2
1.33601e+3 2.46877e+2
1.34659e+3 3.61168e+2
1.35719e+3 4.67097e+2
1.36446e+3 5.45149e+2
1.37478e+3 5.09840e+2
1.37836e+3 4.44796e+2
1.38406e+3 3.57452e+2
1.40466e+3 2.98912e+2
1.41366e+3 2.48271e+2
1.42534e+3 2.11568e+2
1.43559e+3 1.99953e+2
1.44549e+3 7.21883e+1
1.45499e+3 8.33387e+1
1.46501e+3 1.55816e+2
1.47581e+3 1.90661e+2
1.48531e+3 2.00882e+2
1.49545e+3 2.30616e+2
1.50573e+3 2.05993e+2
1.51598e+3 1.95307e+2
1.52422e+3 1.73471e+2
1.53897e+3 2.53846e+2
1.55436e+3 3.52806e+2
1.58418e+3 4.06699e+2
1.59423e+3 4.66168e+2
1.60439e+3 4.86610e+2
1.62497e+3 4.35040e+2
1.64511e+3 2.97519e+2
1.65464e+3 2.99842e+2
1.67609e+3 1.80440e+2
1.68561e+3 1.87409e+2
1.69536e+3 1.12608e+2
1.70463e+3 2.04134e+2
1.71610e+3 2.44090e+2
1.73508e+3 5.16344e+2
1.74451e+3 5.56300e+2
1.75508e+3 4.32252e+2
1.77384e+3 5.40503e+2
1.78437e+3 6.72914e+2
1.79372e+3 4.96831e+2
1.80378e+3 3.10527e+2
1.81483e+3 2.57563e+2
1.83460e+3 4.93114e+2
1.84491e+3 4.60128e+2
1.85503e+3 4.95437e+2
1.86390e+3 4.87075e+2
1.87482e+3 4.79176e+2
1.89508e+3 2.99842e+2
