Production rate of Ti-44 by GCR (all) in meteoroid 30cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.08,15.16,20.24,25.32,30.4,35.48,40.56,45.64,50.72,55.8,60.88,65.96,71.04,76.12,81.2,86.28,91.36,96.44,101.52,106.6
0,6.624212541359172e-05,6.338633226341503e-05,6.093391485447645e-05,6.0131526601394724e-05,5.4759884848441374e-05,5.387313211519572e-05,5.290483478078842e-05,5.1968645621557e-05,5.1441706390345405e-05,5.111962038275757e-05,5.065215858046673e-05,5.03196327200302e-05,4.9890583935689446e-05,4.947626013268342e-05,4.911689923240089e-05,4.869775682618629e-05,4.8567340748049105e-05,4.86121218849957e-05,4.8652530790190034e-05,4.835333998609414e-05,4.874855243928208e-05,4.8429869462408625e-05,4.771408794924046e-05,4.638915433871156e-05
50,5.7494635322240694e-05,5.572503922368684e-05,5.397432357149594e-05,5.351485579855048e-05,4.921383751322788e-05,4.8670747924690314e-05,4.800164754056591e-05,4.732700274155986e-05,4.6977420103268315e-05,4.677691699419557e-05,4.6432490964403815e-05,4.621382195933492e-05,4.588648376381658e-05,4.556727803605909e-05,4.5285643415909294e-05,4.493394506090911e-05,4.483099046503943e-05,4.489909694062397e-05,4.494783228899208e-05,4.46892414874148e-05,4.503826674922472e-05,4.477643213000305e-05,4.411952697252359e-05,4.293054067785524e-05
100,5.087233268462149e-05,4.9668274153680524e-05,4.837576215682502e-05,4.814390765449813e-05,4.461913900844195e-05,4.4319336622098855e-05,4.386742317411727e-05,4.338743179750369e-05,4.3169896125858055e-05,4.305969493910632e-05,4.280862301962507e-05,4.267528815894581e-05,4.242589293279543e-05,4.218076257927561e-05,4.196141248493842e-05,4.1664864444783306e-05,4.158390729766934e-05,4.166948889983168e-05,4.172457551828557e-05,4.149989079563948e-05,4.180906536975891e-05,4.159396084302349e-05,4.09888676789557e-05,3.991624291639737e-05
150,4.557537921798473e-05,4.472290482003606e-05,4.375358441480399e-05,4.3679850408124785e-05,4.0742457545555145e-05,4.062008707873378e-05,4.033023504508038e-05,3.9998383388586624e-05,3.9881033506915795e-05,3.983920450671254e-05,3.966039959696069e-05,3.9592171932054e-05,3.9403665428374e-05,3.921718748388351e-05,3.904838027920362e-05,3.879745792094464e-05,3.873432280289075e-05,3.883302322058587e-05,3.889294425385279e-05,3.869686367230386e-05,3.8971542952737475e-05,3.879515684549865e-05,3.823598537837093e-05,3.726375658389735e-05
200,4.1211673670591895e-05,4.0596946139043145e-05,3.9865576612413685e-05,3.990478196474863e-05,3.742507651064232e-05,3.7434713798989176e-05,3.726815781812447e-05,3.7050925760542945e-05,3.701063643744857e-05,3.702129921975158e-05,3.689929487403209e-05,3.6881393367821154e-05,3.674116429989342e-05,3.660172821518845e-05,3.6474347276067566e-05,3.626153812797377e-05,3.621297328978748e-05,3.6321493665204805e-05,3.638506712390673e-05,3.621332652933705e-05,3.6458038242765145e-05,3.631394812093685e-05,3.579572625615364e-05,3.491072580703489e-05
250,3.754419499574182e-05,3.709859251532495e-05,3.6547498203166385e-05,3.6668811942117593e-05,3.4553655238068216e-05,3.4662852302311146e-05,3.459144144992819e-05,3.446401883501067e-05,3.448359681230567e-05,3.453496452533083e-05,3.445813699034481e-05,3.447950946295177e-05,3.437801322529359e-05,3.427669616563751e-05,3.418354575623145e-05,3.400283755417565e-05,3.3966272410157494e-05,3.408208175746936e-05,3.4148376446742335e-05,3.399750221622726e-05,3.421608354568444e-05,3.409908751725005e-05,3.3617575241298944e-05,3.280883567541879e-05
300,3.441522212965603e-05,3.4094125308263436e-05,3.368247572880263e-05,3.386412533829989e-05,3.204439584264513e-05,3.222935999192055e-05,3.223214689293847e-05,3.217578140300974e-05,3.224219843581905e-05,3.23253502922306e-05,3.2284792748739406e-05,3.233702298917568e-05,3.226690034188057e-05,3.2196730289104e-05,3.213205399304028e-05,3.19785759007633e-05,3.195195314971272e-05,3.2073089297330045e-05,3.214136531927643e-05,3.200849672809864e-05,3.2204210454939356e-05,3.2110057634829996e-05,3.166160786248523e-05,3.0919915900816805e-05
350,3.1713591844800707e-05,3.1486452600093366e-05,3.118438412038085e-05,3.14105938997245e-05,2.983367499748935e-05,3.00766014348779e-05,3.013769585326877e-05,3.0137971226426024e-05,3.0241201660575294e-05,3.0349278272305613e-05,3.033805660281451e-05,3.0414639501800253e-05,3.0370128493998782e-05,3.0325582498424358e-05,3.0284723088351887e-05,3.0154487360421303e-05,3.01361432658096e-05,3.0261072297576194e-05,3.0330737810747477e-05,3.0213496413360474e-05,3.0389127252549494e-05,3.0314316803902686e-05,2.9895768973660858e-05,2.9213326232262497e-05
400,2.9357808417233116e-05,2.9202908582553228e-05,2.8988027043828908e-05,2.924713647595475e-05,2.787214979873071e-05,2.8159496033824837e-05,2.8266653980983666e-05,2.8312330446197707e-05,2.8444560215432618e-05,2.8572217725044052e-05,2.8584861518427625e-05,2.8680706455400624e-05,2.8657237093773868e-05,2.863388916204056e-05,2.8613042194629364e-05,2.8502754051083058e-05,2.8491331055336995e-05,2.8618845892046908e-05,2.8689425032754512e-05,2.8585816743975367e-05,2.8743750593680237e-05,2.868537946746134e-05,2.829397665698335e-05,2.766413745432155e-05
450,2.728635375730631e-05,2.7187799661205826e-05,2.7042975595376284e-05,2.732622900781267e-05,2.612087565965413e-05,2.6442203748248862e-05,2.6585867837101583e-05,2.666807782144829e-05,2.6823151224396745e-05,2.6966180548570376e-05,2.6998325258491962e-05,2.7109406781607253e-05,2.7103314188938112e-05,2.709758204300421e-05,2.709361360899778e-05,2.7000528733183547e-05,2.699491044588042e-05,2.7124056342026347e-05,2.7195165023595855e-05,2.7103505502686627e-05,2.7245794482508005e-05,2.7201440472685604e-05,2.6834763829444916e-05,2.6251829897835033e-05
500,2.5451715746442865e-05,2.5397606127431152e-05,2.530952270240779e-05,2.5610262292302814e-05,2.454865621821655e-05,2.489583283612295e-05,2.5068461245873077e-05,2.518013775559609e-05,2.5353161614200686e-05,2.550821663353192e-05,2.5556346167451316e-05,2.5679452823744643e-05,2.5687769732154107e-05,2.5696728913005515e-05,2.570703846758359e-05,2.5628854519091282e-05,2.5628116566587335e-05,2.5758135536729317e-05,2.582946293261857e-05,2.5748319915329035e-05,2.5876735773130774e-05,2.584436663085544e-05,2.550028281580038e-05,2.495934073934137e-05
550,2.3816511477905193e-05,2.3797766601098383e-05,2.3755929758594346e-05,2.406904166704898e-05,2.3130181106274594e-05,2.349681129290185e-05,2.3692397639944947e-05,2.3827859578443516e-05,2.401491448409802e-05,2.4179314157013707e-05,2.4240572073831603e-05,2.4373122410399612e-05,2.4393426209311132e-05,2.4414671222271575e-05,2.4437086790805554e-05,2.4371859686441983e-05,2.4375232034876735e-05,2.450552084849524e-05,2.45768150517731e-05,2.450496322539355e-05,2.4621041289073133e-05,2.4598943352036814e-05,2.427556193454035e-05,2.377235313320636e-05
600,2.2350868211285283e-05,2.2360452784284603e-05,2.2356497267203672e-05,2.2678022059930968e-05,2.1844685494917245e-05,2.222570353385401e-05,2.243942658989085e-05,2.2594072584767807e-05,2.2791998734845374e-05,2.2963580573278797e-05,2.303562926554888e-05,2.3175534850804383e-05,2.3205833007805125e-05,2.3237372035717562e-05,2.3270069105916237e-05,2.3216147637652388e-05,2.3222985358951655e-05,2.335306342126499e-05,2.3424120220799913e-05,2.336050552409232e-05,2.346558098321677e-05,2.3452302608758172e-05,2.314794118536148e-05,2.2678757000577798e-05
650,2.1030597039403983e-05,2.106298830018044e-05,2.109017963515055e-05,2.14170327509175e-05,2.0674965346269853e-05,2.1066333962362333e-05,2.1294297794791935e-05,2.1464376658249617e-05,2.167061270198635e-05,2.1847622666571982e-05,2.1928536787860737e-05,2.20740987932619e-05,2.211274179682521e-05,2.2152915810163443e-05,2.219435383384215e-05,2.2150328061419094e-05,2.2160088405608458e-05,2.228957294488212e-05,2.2360226958959994e-05,2.230393805930653e-05,2.2399176021150035e-05,2.2393482377342535e-05,2.2106637762959568e-05,2.1668234115852948e-05
700,1.983588585003785e-05,1.988669995472143e-05,1.9939569916819084e-05,2.026933750336589e-05,1.9606641158528154e-05,2.0005126975779787e-05,2.0244165342360772e-05,2.042660165812705e-05,2.0639061879256348e-05,2.0820070560801238e-05,2.0908255326442613e-05,2.1058085471471688e-05,2.1103699851492643e-05,2.115111973600306e-05,2.1199991908124242e-05,2.1164652033331847e-05,2.1176876273409315e-05,2.130546299696316e-05,2.1375580611220622e-05,2.1325825912801695e-05,2.1412246394972335e-05,2.1413083054814802e-05,2.1142407302215503e-05,2.0731934763379977e-05
750,1.875034336418287e-05,1.8816067148933485e-05,1.8890142349437878e-05,1.922092988375185e-05,1.862759898664469e-05,1.9030602672322474e-05,1.9278129885394402e-05,1.947038989659573e-05,1.968736955101872e-05,1.987120762293456e-05,1.9965335458962914e-05,2.0118294908922166e-05,2.0169731125893236e-05,2.0223228305501412e-05,2.027842147957221e-05,2.0250724788898665e-05,2.0265023719973766e-05,2.039247160968322e-05,2.04619453106324e-05,2.0418034270859564e-05,2.049653306384522e-05,2.0502996485079034e-05,2.0247276781896445e-05,1.986222288374198e-05
800,1.7760286854573108e-05,1.783808158467121e-05,1.7929678372729142e-05,1.8259996923823294e-05,1.772756026212745e-05,1.8132986522035983e-05,1.838688244401086e-05,1.8586869827974413e-05,1.8806971442971603e-05,1.899267943890277e-05,1.909164035306753e-05,1.9246792023023567e-05,1.9303083516263785e-05,1.9361670811892396e-05,1.9422233240494276e-05,1.9401277323355563e-05,1.9417319589306893e-05,1.9543438862448632e-05,1.9612182660586355e-05,1.957351049499211e-05,1.964487664450716e-05,1.9656190080235995e-05,1.9414331787917172e-05,1.9052473140765648e-05
