Production rate of Ti-44 by GCR (all) in meteoroid 60cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,12.04,19.08,26.12,33.16,40.2,47.24,54.28,61.32,68.36,75.4,82.44,89.48,96.52,103.56,110.6,117.64,124.68,131.72,138.76,145.8,152.84,159.88,166.92,173.96,181.0,188.04,195.08,202.12,209.16,216.2
0,4.692640533930675e-05,4.5528087172868094e-05,4.333370379951292e-05,4.274295973362271e-05,3.857801115129162e-05,3.7190352299454774e-05,3.5888594752591976e-05,3.5116994603968643e-05,3.453385632895164e-05,3.3559004213228245e-05,3.2960186191784724e-05,3.219123970767993e-05,3.1805429640088e-05,3.1134388834649866e-05,3.081442836623777e-05,3.07567261540353e-05,3.035281175270495e-05,2.9881497817217577e-05,2.974962601285386e-05,2.951810139478901e-05,2.943809257068713e-05,2.8380890768395104e-05,2.8613824880423256e-05,2.8187575606729398e-05,2.8280228246876064e-05,2.761629629497974e-05,2.7131090319803613e-05,2.8042251780537866e-05,2.6916108629557495e-05,2.7651052869153693e-05,2.6219651617947372e-05,2.755102397011184e-05,2.60140266217013e-05,2.421240967560662e-05
50,4.0649043585598485e-05,4.000128895924442e-05,3.841539050629591e-05,3.806939323308102e-05,3.4830836689738296e-05,3.381799272346106e-05,3.283425681382782e-05,3.226389790496231e-05,3.180374153204411e-05,3.101538837891646e-05,3.0535729319089284e-05,2.9901950307794977e-05,2.9590897300466283e-05,2.898869686031455e-05,2.8725856090214154e-05,2.8724373156400407e-05,2.836621395747441e-05,2.7953722673093024e-05,2.786496068450524e-05,2.7662058116906853e-05,2.7604914521162048e-05,2.662243131363626e-05,2.686237894979851e-05,2.6492745727167785e-05,2.6586267077376713e-05,2.598856567614916e-05,2.5523742933480936e-05,2.635003125230809e-05,2.5342776848634126e-05,2.6024417445309555e-05,2.4688662622868926e-05,2.5942888427131e-05,2.4474008106099237e-05,2.285924615676341e-05
100,3.59376795374934e-05,3.5649536047516336e-05,3.446980643603648e-05,3.428346528775891e-05,3.171304985107724e-05,3.0974635685836305e-05,3.023157504902623e-05,2.9815213049193333e-05,2.94494033361268e-05,2.880802183528602e-05,2.8422526849350723e-05,2.789843547362383e-05,2.7647686837303945e-05,2.7104077073538967e-05,2.6887630171343488e-05,2.693024634608354e-05,2.661058951948226e-05,2.624747609071503e-05,2.619288010455805e-05,2.6013096452987866e-05,2.5973547413532693e-05,2.5057480241407792e-05,2.5299977630043756e-05,2.4978799107109027e-05,2.5072797165579705e-05,2.4531776126429163e-05,2.408623445655727e-05,2.4838364382618813e-05,2.3933632895144132e-05,2.456667474723408e-05,2.331857486931684e-05,2.4499636755460293e-05,2.3092439587970796e-05,2.1640158928111065e-05
150,3.218887850428744e-05,3.210636523406742e-05,3.1217840950052036e-05,3.1140854484127366e-05,2.9072474671375247e-05,2.854089299761156e-05,2.7984094069204962e-05,2.7687826973939984e-05,2.739607866390113e-05,2.687251007556155e-05,2.6562731367826633e-05,2.6128749565915167e-05,2.592722089728723e-05,2.543398516729377e-05,2.525574686004522e-05,2.5333082202934946e-05,2.504625270343957e-05,2.4725075356143286e-05,2.469780710240242e-05,2.4536993894345023e-05,2.4511015693669674e-05,2.3654524842198436e-05,2.389645854900552e-05,2.3617064938995083e-05,2.3711269858822758e-05,2.321915842584954e-05,2.2791840750742124e-05,2.3478903782662344e-05,2.2663051410048212e-05,2.3251739145714163e-05,2.2084044751060775e-05,2.3196190869391465e-05,2.18452821281685e-05,2.053513805538771e-05
200,2.9111918492184687e-05,2.915668758997882e-05,2.8485304394201975e-05,2.848551946777972e-05,2.6805036388795736e-05,2.6432579046803582e-05,2.6022361176672343e-05,2.582110461303274e-05,2.5588550268780096e-05,2.5160697215659697e-05,2.491263989492056e-05,2.4553428485634486e-05,2.439246251268537e-05,2.394291327606039e-05,2.3796504989247664e-05,2.390120719652814e-05,2.3642673778639776e-05,2.335745987962589e-05,2.335220026824295e-05,2.320716604651978e-05,2.319165125552658e-05,2.2388983789797968e-05,2.2628175508986577e-05,2.238504637130605e-05,2.2479260679411467e-05,2.2029663124998172e-05,2.1619563285177715e-05,2.2249296500199393e-05,2.1510873014915004e-05,2.205902755389084e-05,2.0965183714544584e-05,2.201266715599739e-05,2.0713469448429453e-05,1.9528396704596812e-05
250,2.6533005309376943e-05,2.6660006464127897e-05,2.615479501845458e-05,2.621060547262338e-05,2.4836101058437715e-05,2.4587962043284636e-05,2.4294606156421763e-05,2.41693607806509e-05,2.3984813132513538e-05,2.3635577626984594e-05,2.3438396089717125e-05,2.3141749223315466e-05,2.3014483655064126e-05,2.2603108201668146e-05,2.248347383946293e-05,2.260972010465234e-05,2.2375805417506948e-05,2.2121688243164324e-05,2.2134243117049518e-05,2.2002490363866703e-05,2.1995018222655015e-05,2.1241257093701914e-05,2.1476190909183003e-05,2.1264708241282223e-05,2.1358778449396098e-05,2.0946379396747162e-05,2.055254559026052e-05,2.1131558220528434e-05,2.0460896697818405e-05,2.0971955710434402e-05,1.994604123887988e-05,2.0932986044929022e-05,1.968156857399504e-05,1.8607155813934214e-05
300,2.4337429390468563e-05,2.451878935956519e-05,2.4143146112343432e-05,2.4239506188014433e-05,2.3110295851799243e-05,2.2960438355764414e-05,2.2761217285284544e-05,2.2697322333792717e-05,2.2552182596399918e-05,2.226811153452448e-05,2.211325463052915e-05,2.186933444016085e-05,2.1770261848530702e-05,2.1392465965787346e-05,2.1295539818111962e-05,2.1438679231866275e-05,2.1226357715489265e-05,2.0999320639300264e-05,2.1026345690817312e-05,2.090589092402678e-05,2.0904563067847832e-05,2.0195451752688994e-05,2.0425088365892008e-05,2.024135380775157e-05,2.0335154141021352e-05,1.995549827193496e-05,1.9577034074965173e-05,2.0110995308434563e-05,1.9499888955319835e-05,1.9976946786304664e-05,1.901361158608486e-05,1.9943945226990753e-05,1.873689484777753e-05,1.776088585348803e-05
350,2.244485768220866e-05,2.2662463452951723e-05,2.2389287874269997e-05,2.251543430649425e-05,2.1585452479209348e-05,2.1514011139312093e-05,2.1391249161914136e-05,2.137721797367925e-05,2.126475929336352e-05,2.1035119405268927e-05,2.0915747682021072e-05,2.071653820364447e-05,2.064119118212571e-05,2.0293109414265656e-05,2.0215581596350638e-05,2.037187294295143e-05,2.017862566097585e-05,1.997531703572621e-05,2.001412049972284e-05,1.990336793416063e-05,1.9906688221636654e-05,1.9238503693352118e-05,1.9462150559398e-05,1.9302847198091194e-05,1.939627022995942e-05,1.9045594550749255e-05,1.8681658214866624e-05,1.917545163018048e-05,1.861689694905167e-05,1.906274186777083e-05,1.815714730076625e-05,1.9034569793572996e-05,1.7868893253168978e-05,1.6980793102590275e-05
400,2.0796703930503577e-05,2.103836570045442e-05,2.084712270685648e-05,2.099519191256571e-05,2.0228779923289187e-05,2.0220352759551014e-05,2.0160109391158028e-05,2.01868267453172e-05,2.0101707337774073e-05,1.991783390439775e-05,1.9828409998509373e-05,1.9667318120793468e-05,1.9612039088861035e-05,1.9290391602463046e-05,1.922953839233892e-05,1.9395954496858928e-05,1.9219662405573715e-05,1.9037258584667765e-05,1.9085656584057846e-05,1.8983307432092202e-05,1.8990092476151058e-05,1.8359550457506126e-05,1.857676919282434e-05,1.8439055240042247e-05,1.8532006487192665e-05,1.8207110725834057e-05,1.785691337332665e-05,1.831476364563455e-05,1.7802754795602136e-05,1.8219902775545122e-05,1.7367666961738014e-05,1.819564069393653e-05,1.7068689718278404e-05,1.6259453448321966e-05
450,1.9348937741013843e-05,1.960623713983279e-05,1.94810784162691e-05,1.9645227756730114e-05,1.901433455126377e-05,1.9056819778712485e-05,1.9047969970769665e-05,1.910812372129397e-05,1.9046046605047485e-05,1.890087346360473e-05,1.8836866926788803e-05,1.8708425008955897e-05,1.8670194807098478e-05,1.8372177652496554e-05,1.832573629793646e-05,1.849981585119041e-05,1.833867980220193e-05,1.817478185287513e-05,1.8230990414721566e-05,1.8135976539801027e-05,1.8145288134034017e-05,1.7549470671028083e-05,1.7760010000391512e-05,1.7641435760894548e-05,1.7733830554581522e-05,1.74319757735377e-05,1.7094778943705117e-05,1.7520355883433205e-05,1.704971890901008e-05,1.74404437972564e-05,1.6637592389246923e-05,1.7419343711372583e-05,1.63287568750141e-05,1.5590542046083126e-05
500,1.806768129012718e-05,1.833469100741848e-05,1.8263201071582857e-05,1.8439029913148944e-05,1.7921287796718772e-05,1.8005068967603524e-05,1.8038644368196278e-05,1.8126313879449754e-05,1.8083783376500153e-05,1.7971496714307694e-05,1.792916681953466e-05,1.782880738090159e-05,1.7805115633328647e-05,1.7528315416492105e-05,1.7494390159656687e-05,1.767412405670898e-05,1.7526603842412366e-05,1.737915838568932e-05,1.7441711592151277e-05,1.7353146180458893e-05,1.7364239646536676e-05,1.680053856489099e-05,1.7004285154074068e-05,1.6902727336704376e-05,1.6994488999746044e-05,1.6713317422998287e-05,1.6388430278189827e-05,1.6784934470658176e-05,1.635119281008693e-05,1.6717553051764927e-05,1.596047538932249e-05,1.6699002793660198e-05,1.564265983516679e-05,1.4968628520439737e-05
550,1.6926366539823314e-05,1.7198852934982127e-05,1.7171183713223046e-05,1.7355340634205486e-05,1.6932705587830723e-05,1.7050067236006016e-05,1.7118774604478614e-05,1.7229127026768512e-05,1.720327095649342e-05,1.7119049802403304e-05,1.7095282857606188e-05,1.7019165428317387e-05,1.700791115305098e-05,1.6750237858841666e-05,1.672722833024588e-05,1.6910971505148368e-05,1.6775738741897358e-05,1.6642976411349527e-05,1.6710663539113365e-05,1.6627803894675445e-05,1.6640088194789623e-05,1.6106160143361176e-05,1.6303102182000362e-05,1.621671133505417e-05,1.6307770101144012e-05,1.6045241107996917e-05,1.5732017502914707e-05,1.6102251043031584e-05,1.5701515750422653e-05,1.604537796047224e-05,1.5330788229893818e-05,1.6028874042123755e-05,1.500485951738747e-05,1.438901866638747e-05
600,1.5903824030767863e-05,1.6178732197503657e-05,1.618698936645875e-05,1.6376899059508896e-05,1.6034667670003943e-05,1.6179367893732316e-05,1.62772307787684e-05,1.6406293220742932e-05,1.6394730768277135e-05,1.6334549519723382e-05,1.6326735113516472e-05,1.6271611508905003e-05,1.62710259974841e-05,1.6030659514711964e-05,1.601720544345594e-05,1.620360780403858e-05,1.607950904453641e-05,1.5959896032811548e-05,1.6031712717704637e-05,1.5953931840368344e-05,1.596693850294995e-05,1.546066863666482e-05,1.5650868646170585e-05,1.557802666653965e-05,1.5668319014346487e-05,1.542265759902587e-05,1.5120493143949844e-05,1.5466918287319154e-05,1.5095797910711033e-05,1.5418857624805696e-05,1.4743760543065701e-05,1.5403984281832608e-05,1.441055830956426e-05,1.3847630089047217e-05
650,1.4982955879510663e-05,1.5258067127751276e-05,1.5295865124763353e-05,1.5489534541002086e-05,1.5215619232966577e-05,1.5382571724537168e-05,1.5504659761471278e-05,1.5649145945903843e-05,1.5649887947924317e-05,1.561036411163364e-05,1.5616299689371024e-05,1.557940802478117e-05,1.558799435734865e-05,1.5363341485723903e-05,1.535827949829446e-05,1.554623134653308e-05,1.5432258868590715e-05,1.5324458343592366e-05,1.539956825358803e-05,1.532633287503418e-05,1.5339691600582843e-05,1.4859163831250366e-05,1.5042738231386045e-05,1.4982023703466439e-05,1.5071491915809371e-05,1.4841146859731542e-05,1.4549476059039655e-05,1.4874264053865758e-05,1.4529790245454505e-05,1.4833590178810203e-05,1.4195250704193427e-05,1.4820002997938219e-05,1.3855577456627056e-05,1.3340893175032847e-05
