Production rate of Ti-44 by GCR (all) in meteoroid 50cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.03,15.06,20.09,25.12,30.15,35.18,40.21,45.24,50.27,55.3,60.33,65.36,70.39,75.42,80.45,85.48,90.51,95.54,100.57,105.6,110.63,115.66,120.69,125.72,130.75,135.78,140.81,145.84,150.87,155.9,160.93,165.96,170.99,176.02,181.05
0,4.231821139351368e-05,4.053303776778593e-05,3.897220895950171e-05,3.831649789238165e-05,3.5285867784417944e-05,3.449351297441198e-05,3.3583537062304344e-05,3.2833600768001755e-05,3.214932366232455e-05,3.1672298051569784e-05,3.1260495850810954e-05,3.08272224161631e-05,3.0317970369149127e-05,2.9802454348966436e-05,2.9466794460873138e-05,2.904364825321972e-05,2.874722865122207e-05,2.8531574401882153e-05,2.839267265270698e-05,2.810606903954749e-05,2.776907466183887e-05,2.7594341524056547e-05,2.7386844147770844e-05,2.7044232639512293e-05,2.694277403003615e-05,2.668536977452834e-05,2.6534243905192898e-05,2.6266290495060985e-05,2.619685776179356e-05,2.605314136145006e-05,2.5993779213156344e-05,2.5806464810139396e-05,2.5652469577380256e-05,2.5573550847546685e-05,2.52854646631843e-05,2.517581755058498e-05,2.5021518368776238e-05,2.530658710549261e-05,2.4281532429197546e-05
50,3.6528337249873095e-05,3.54922733387204e-05,3.4404050453018483e-05,3.399302350439446e-05,3.1639624668305695e-05,3.109667316487067e-05,3.0416384645875543e-05,2.9854504256931596e-05,2.932066793316057e-05,2.895299481651438e-05,2.8637797568092926e-05,2.8298146780395966e-05,2.7880015563627458e-05,2.7450957080330356e-05,2.7176839537225484e-05,2.6818915067873512e-05,2.6569607871922376e-05,2.6390512647619237e-05,2.627774199788646e-05,2.603213175074309e-05,2.5739857614873037e-05,2.559318806857647e-05,2.5417656252955512e-05,2.511405904134743e-05,2.503074993198761e-05,2.4807183269519503e-05,2.467828330599997e-05,2.444227839058644e-05,2.4384734393597783e-05,2.426323612109111e-05,2.4218110146613114e-05,2.4052787413633445e-05,2.3915465304388553e-05,2.3848911641438232e-05,2.358715359070273e-05,2.3491389423600093e-05,2.3354068140045466e-05,2.3613379348403607e-05,2.2660778283857788e-05
100,3.21739079084597e-05,3.152043354511062e-05,3.0737435579153855e-05,3.048925767927515e-05,2.86189993677597e-05,2.8254746024276233e-05,2.774368461477604e-05,2.7322065113289706e-05,2.6903380420772174e-05,2.6619447126012543e-05,2.6378044673028942e-05,2.6110635344286377e-05,2.5764168907080254e-05,2.5404216173890877e-05,2.517923669781631e-05,2.4874687017846685e-05,2.4663817579326388e-05,2.4514384569667868e-05,2.4422512822482664e-05,2.4210571942622993e-05,2.395529448602662e-05,2.3831406889299525e-05,2.3682100381460795e-05,2.3411055318397896e-05,2.3342221615097246e-05,2.314677338234416e-05,2.303585548586296e-05,2.282664310583869e-05,2.2778520785597085e-05,2.2675212227916477e-05,2.2641282163254034e-05,2.2494229640550443e-05,2.237087422175875e-05,2.231444900308081e-05,2.2075259583644193e-05,2.1991030754136542e-05,2.186878504468416e-05,2.2105054702606952e-05,2.1217223174897816e-05
150,2.8705034104805152e-05,2.828448677139972e-05,2.7714626036158642e-05,2.758005555525591e-05,2.6069956283329498e-05,2.5837660178357894e-05,2.5454789567452046e-05,2.51402342414541e-05,2.481148555220092e-05,2.45929366862777e-05,2.4408996035396218e-05,2.419837718028659e-05,2.3909303924866984e-05,2.3605474812596943e-05,2.3420250880121347e-05,2.3159902083274534e-05,2.298075958904037e-05,2.285567874041129e-05,2.2780745802221953e-05,2.259679037289418e-05,2.2372485657491618e-05,2.2267321301249016e-05,2.2139788831407447e-05,2.1896238786317144e-05,2.1839109705200306e-05,2.16672850813178e-05,2.1571114539490374e-05,2.138462017536676e-05,2.1344071015272646e-05,2.125582062990455e-05,2.1230780350097544e-05,2.1099092325538052e-05,2.098760667204456e-05,2.0939565217844974e-05,2.0719916506717584e-05,2.0645373261629636e-05,2.0536561808274135e-05,2.075217138733913e-05,1.9922496818836115e-05
200,2.5855761430739934e-05,2.558907525072703e-05,2.5174561835747373e-05,2.5121584785914438e-05,2.3888058387863452e-05,2.375523061923829e-05,2.3471415549705428e-05,2.324000362398099e-05,2.2982592524260662e-05,2.2815858975975558e-05,2.2677322793155266e-05,2.251199714910269e-05,2.2269550668797355e-05,2.2011883730843912e-05,2.185916802253615e-05,2.163578423642769e-05,2.1483083866303853e-05,2.1378192198380286e-05,2.1317138810216203e-05,2.1156678266593185e-05,2.0958563013719482e-05,2.086894494932511e-05,2.0759670626040244e-05,2.0539586222482044e-05,2.049202975640544e-05,2.034023824390008e-05,2.0256300511819073e-05,2.0089249377198413e-05,2.0054861486126903e-05,1.997919332703066e-05,1.9961262436464305e-05,1.9842630054169635e-05,1.9741352646048982e-05,1.9700313132823705e-05,1.9497727125355606e-05,1.943138857222009e-05,1.93345877264217e-05,1.953162140982762e-05,1.87543881964702e-05
250,2.3466659308163127e-05,2.3306594811546036e-05,2.3008543326017627e-05,2.3015297941971515e-05,2.1998868934158746e-05,2.1942123740949793e-05,2.1736006327465075e-05,2.1570023922434114e-05,2.1369896865228475e-05,2.1244707522650936e-05,2.114246470689912e-05,2.101368203228815e-05,2.080956197273086e-05,2.059026232230534e-05,2.0464363341733276e-05,2.0272151824692844e-05,2.014167104978772e-05,2.0053656346828483e-05,2.000407990410036e-05,1.986351436565066e-05,1.9687734395995947e-05,1.9611138163102865e-05,1.951730292619165e-05,1.9317425697822033e-05,1.927777425020054e-05,1.914310861532879e-05,1.9069417349640344e-05,1.8919140639980127e-05,1.888981825798802e-05,1.8824747360485274e-05,1.881253223039676e-05,1.8705094125679962e-05,1.861268428830577e-05,1.85775378244222e-05,1.83899603789031e-05,1.8330625492653273e-05,1.824459355892102e-05,1.8424878338810533e-05,1.7695121577595023e-05
300,2.1432272215753442e-05,2.1348437964136128e-05,2.1139470312957384e-05,2.1190499151569672e-05,2.0347417691940172e-05,2.034947718190718e-05,2.0205016210355338e-05,2.0091062662541817e-05,1.993739398502679e-05,1.9845826432995704e-05,1.977286288507805e-05,1.9673842077330513e-05,1.9501536159727857e-05,1.9314406742080953e-05,1.921079364631124e-05,1.9045058907881097e-05,1.8933382620680795e-05,1.885957661456892e-05,1.8819564067659023e-05,1.8695971898624222e-05,1.853938300801734e-05,1.847377700750939e-05,1.8393091772499347e-05,1.8210753224134615e-05,1.8177684294651988e-05,1.8057763140980788e-05,1.79927278990891e-05,1.7857024915117097e-05,1.783190589681348e-05,1.7775822183365266e-05,1.7768219588678732e-05,1.7670456515969374e-05,1.758581583565796e-05,1.7555662406265758e-05,1.7381372331595943e-05,1.7328056320495692e-05,1.7251704663623e-05,1.74168468689651e-05,1.673023186114646e-05
350,1.9678617118211527e-05,1.9650458954886567e-05,1.951066172050639e-05,1.9594746598016038e-05,1.8891997854036758e-05,1.8939834829738395e-05,1.8844748537858333e-05,1.877250950235416e-05,1.8656827432535878e-05,1.859267597262972e-05,1.854350885241824e-05,1.8468915734623323e-05,1.8323239610171223e-05,1.8163288121361563e-05,1.807831248995571e-05,1.793520769448238e-05,1.783954474166561e-05,1.777777483459374e-05,1.7745784906701206e-05,1.763676957725116e-05,1.7496779230965238e-05,1.7440510534620722e-05,1.7371096253717765e-05,1.720408700017918e-05,1.7176539200000573e-05,1.7069392126390707e-05,1.701172456821971e-05,1.6888762042779846e-05,1.6867159870253286e-05,1.6818744129830685e-05,1.6814872507754724e-05,1.6725531069806705e-05,1.664774777447009e-05,1.662184963786894e-05,1.645939129602594e-05,1.641127895625669e-05,1.634364862735303e-05,1.64950654928945e-05,1.5847789022751228e-05
400,1.8151657058218882e-05,1.816476129262817e-05,1.80792873823066e-05,1.818811993632952e-05,1.7600276175958632e-05,1.7683907043276073e-05,1.762864357552851e-05,1.759006577002669e-05,1.7505652410316796e-05,1.746399299392069e-05,1.7434281218716814e-05,1.737986661445096e-05,1.725664173415688e-05,1.7119800897355088e-05,1.705049585706856e-05,1.6926840093081716e-05,1.6844888322613476e-05,1.6793368945431176e-05,1.6768147126043403e-05,1.667172442213478e-05,1.6546174882114138e-05,1.6497885735601097e-05,1.6438185259907615e-05,1.62846583344383e-05,1.6261770905344903e-05,1.6165753048452726e-05,1.611439889167228e-05,1.600263593523735e-05,1.5983998095766666e-05,1.5942159883544166e-05,1.59413091944113e-05,1.585934546910107e-05,1.57876540613431e-05,1.5765401203931614e-05,1.5613533472464372e-05,1.5569944316597194e-05,1.551018702672884e-05,1.5649133439384527e-05,1.5037842857671795e-05
