Production rate of Ti-44 by GCR (all) in meteoroid 60cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,12.04,19.08,26.12,33.16,40.2,47.24,54.28,61.32,68.36,75.4,82.44,89.48,96.52,103.56,110.6,117.64,124.68,131.72,138.76,145.8,152.84,159.88,166.92,173.96,181.0,188.04,195.08,202.12,209.16,216.2
0,4.20467690063149e-05,4.08010198891159e-05,3.8844272701018786e-05,3.831693219286262e-05,3.459361929146827e-05,3.335803691527536e-05,3.219449958929706e-05,3.150941261570367e-05,3.099063634332943e-05,3.0121455388047802e-05,2.9587584658257463e-05,2.889852093099701e-05,2.85556112552012e-05,2.7955376014983933e-05,2.7669818865816106e-05,2.7619590823663964e-05,2.7259107542134646e-05,2.6837635521024045e-05,2.6720614788141387e-05,2.6513842422598878e-05,2.644167278221566e-05,2.5496869301522674e-05,2.5705672402664952e-05,2.5324677686999837e-05,2.540678715387772e-05,2.481319407867382e-05,2.437919695084603e-05,2.5193367057509564e-05,2.418586107685973e-05,2.4841984389808797e-05,2.3566046238465247e-05,2.4749623651789766e-05,2.3374969684259982e-05,2.1765006514075445e-05
50,3.6419867303642795e-05,3.5845970860409786e-05,3.4433121221268965e-05,3.41255698502811e-05,3.1232587243414366e-05,3.033220422255644e-05,2.9454109332850803e-05,2.894878258082125e-05,2.8539927026119486e-05,2.783755333594359e-05,2.7410350394474866e-05,2.684273219878896e-05,2.656671750654817e-05,2.602816094039838e-05,2.5793735462111956e-05,2.5793799809164558e-05,2.5474293181785232e-05,2.510549566168058e-05,2.5026991066741526e-05,2.484589194333484e-05,2.4794253737847174e-05,2.3916277009162637e-05,2.4131421571589523e-05,2.3801212455509418e-05,2.388413149873631e-05,2.3349856651343008e-05,2.2934173348882904e-05,2.3672493362010702e-05,2.2771401469352164e-05,2.3379806913073964e-05,2.218922230481924e-05,2.330432982023239e-05,2.1990855754678987e-05,2.0547651748301126e-05
100,3.219822924828715e-05,3.194566056314726e-05,3.08956655846162e-05,3.0731260152438364e-05,2.843657964385844e-05,2.778148972252823e-05,2.711920128958743e-05,2.6751375126493882e-05,2.6426807169489363e-05,2.5855848794039678e-05,2.551289372790592e-05,2.5043762700215383e-05,2.4821679055712504e-05,2.4335608127674916e-05,2.4142701216121728e-05,2.4182203562741953e-05,2.389716306913263e-05,2.3572577204893823e-05,2.3524587001101908e-05,2.3364215577255115e-05,2.3328380803023416e-05,2.2509795676451576e-05,2.2727266276092583e-05,2.244051477582544e-05,2.252388420669803e-05,2.204036646288096e-05,2.164198510879786e-05,2.2314025883977555e-05,2.1504691394170725e-05,2.2069608893563887e-05,2.0957241084913632e-05,2.200737686859647e-05,2.0749274923978925e-05,1.9451112904922686e-05
150,2.8839651518638572e-05,2.8770589814566918e-05,2.7980649528270294e-05,2.791417896790052e-05,2.6068795027462783e-05,2.5598494483036556e-05,2.5103095934864202e-05,2.484245719464911e-05,2.4584026793207132e-05,2.4118384270756235e-05,2.38431411593378e-05,2.3454875494070286e-05,2.327678655254471e-05,2.2835833893429112e-05,2.2677112334650283e-05,2.274765439089128e-05,2.2491988887211455e-05,2.2204947680929597e-05,2.218135590265882e-05,2.2037985488817463e-05,2.201434503738485e-05,2.124902907381057e-05,2.1466024758679814e-05,2.121674356975739e-05,2.1300316497849456e-05,2.0860591172565504e-05,2.0478548306336867e-05,2.1092432120588797e-05,2.036263837345262e-05,2.0887879130050613e-05,1.9847254898713578e-05,2.083616567924924e-05,1.9628571515394386e-05,1.8457308156389047e-05
200,2.6083235319246125e-05,2.612762134778572e-05,2.553153439224789e-05,2.553413553600837e-05,2.4035749684857127e-05,2.3707555173145495e-05,2.3343411400434996e-05,2.3167538104467513e-05,2.2961947633692212e-05,2.2581846993295046e-05,2.2361778080258892e-05,2.2040582550576028e-05,2.1898731645979674e-05,2.1496902236742395e-05,2.1366653116348078e-05,2.146165322410895e-05,2.1231299596452383e-05,2.0976452912940422e-05,2.0972503597847087e-05,2.0843268163916376e-05,2.0829034770420355e-05,2.011183995433685e-05,2.0326400678940678e-05,2.0109635132881686e-05,2.0193231245036975e-05,1.9791566866290627e-05,1.942494975166836e-05,1.9987590036007703e-05,1.9327085661531887e-05,1.9816077420977108e-05,1.884134437830342e-05,1.977278961655103e-05,1.8611579343556003e-05,1.7551988670355493e-05
250,2.377310860456747e-05,2.389068816559876e-05,2.3442908823670055e-05,2.3495203551462704e-05,2.227043889009864e-05,2.205322084971086e-05,2.1793663528281598e-05,2.168557742905459e-05,2.152282397910811e-05,2.1212968153968283e-05,2.1038361386914572e-05,2.07732658586677e-05,2.066150726129309e-05,2.0293860096416794e-05,2.018755602086157e-05,2.030180251251512e-05,2.009346462978217e-05,1.9866453433374563e-05,1.9878397360651695e-05,1.9761054723992633e-05,1.975405688512806e-05,1.9080584212828708e-05,1.929134553745408e-05,1.9102951515023343e-05,1.918643101459728e-05,1.8818064828645756e-05,1.8466012858460684e-05,1.8983316128575107e-05,1.8383447075844932e-05,1.8839271746962772e-05,1.7925143817253278e-05,1.8802774114717217e-05,1.768440877904914e-05,1.67236289855688e-05
300,2.180643008846832e-05,2.1972314267785636e-05,2.164014104107571e-05,2.1728644696501014e-05,2.0723167512863462e-05,2.059364601605157e-05,2.0418293652997115e-05,2.0364896739297832e-05,2.0237294003996746e-05,1.998564905238696e-05,1.9848849936278635e-05,1.963101726535408e-05,1.9544420566979274e-05,1.9206838465992548e-05,1.9120839570046677e-05,1.9250170275180258e-05,1.906113716769331e-05,1.8858364158073635e-05,1.88832124705353e-05,1.877598242845724e-05,1.877451704069576e-05,1.8140959110591494e-05,1.834698514960439e-05,1.818346474588528e-05,1.826671339528612e-05,1.7927653716238825e-05,1.7589358275587763e-05,1.8066391564648177e-05,1.7519811435515032e-05,1.7945241702430743e-05,1.7086943017001132e-05,1.791423847115299e-05,1.6835646911241248e-05,1.5962737564181534e-05
350,2.011119713440192e-05,2.0309222995329123e-05,2.0068448861173282e-05,2.0183520853031007e-05,1.935610062392763e-05,1.929651832068676e-05,1.9189527669233434e-05,1.9180560033445155e-05,1.9082096555320015e-05,1.887906299766394e-05,1.8773951298269963e-05,1.859618417306845e-05,1.853075147118976e-05,1.821977076191201e-05,1.8151114331992935e-05,1.8292181645454856e-05,1.8120196991513074e-05,1.7938660658131243e-05,1.7974008202218806e-05,1.7875458900015916e-05,1.7878183491620973e-05,1.7281210555730796e-05,1.748187721464165e-05,1.7340254546453004e-05,1.742317503703487e-05,1.7110050791487333e-05,1.6784753935246537e-05,1.7225882541314956e-05,1.6726322457991544e-05,1.7123855701808458e-05,1.6317067240188345e-05,1.7097308877053596e-05,1.6055799059310996e-05,1.5261390776586344e-05
400,1.8634908756297997e-05,1.8854206318321205e-05,1.8686491825046313e-05,1.882109273672008e-05,1.81398225467004e-05,1.813641516661933e-05,1.8085296493195356e-05,1.8112618196297642e-05,1.80385214620924e-05,1.7876351011887446e-05,1.7797973147573723e-05,1.765435409756137e-05,1.7606813325568864e-05,1.7319495402292693e-05,1.7265743761462637e-05,1.7415839373968113e-05,1.7259005591946714e-05,1.7096177441151992e-05,1.714007328352075e-05,1.7049039660829697e-05,1.7054892172490006e-05,1.6491567193952157e-05,1.668647892491311e-05,1.656420460952685e-05,1.6646711562793543e-05,1.6356656059075363e-05,1.604364842281804e-05,1.6452648969128027e-05,1.599473335431988e-05,1.636662228486202e-05,1.5607432956672922e-05,1.63436928926437e-05,1.5336884052880208e-05,1.4612901232083724e-05
450,1.733811353991216e-05,1.7571181400068843e-05,1.7462375034298782e-05,1.7611277384837245e-05,1.7051063594598703e-05,1.7093018670580002e-05,1.7087808554165198e-05,1.7144891230119493e-05,1.7091323098257892e-05,1.696369783912964e-05,1.6908002098963247e-05,1.6793625455079672e-05,1.6761276562834338e-05,1.649510943610367e-05,1.6454237731723805e-05,1.6611159911737458e-05,1.6467866305152316e-05,1.632159829700242e-05,1.637244908689921e-05,1.6287973235878913e-05,1.6296111440311644e-05,1.576382519082476e-05,1.5952754712574292e-05,1.5847631288538147e-05,1.5929648348909797e-05,1.5660208363556846e-05,1.5358826635302727e-05,1.5738979936409677e-05,1.531807802958248e-05,1.5666357966795273e-05,1.4951220606651842e-05,1.5646362888663284e-05,1.4672132926887865e-05,1.4011573213035569e-05
500,1.6190460124017557e-05,1.6432020842889617e-05,1.6371038138614885e-05,1.6530306715816047e-05,1.6071144129444256e-05,1.6149871722710117e-05,1.6182541058228435e-05,1.6264099846989765e-05,1.6227938640663593e-05,1.6129661096062612e-05,1.6093302888420172e-05,1.6004071852736056e-05,1.5984670513920826e-05,1.5737492274588147e-05,1.57078042670162e-05,1.586975606826987e-05,1.5738624095146277e-05,1.5607077709732365e-05,1.566357444412904e-05,1.5584861275297773e-05,1.55946164736441e-05,1.5091036883102226e-05,1.5273880981364947e-05,1.5184003917773064e-05,1.526546204855269e-05,1.5014525943624283e-05,1.4724150125684223e-05,1.5078317652321265e-05,1.469042305661033e-05,1.5016936048313706e-05,1.4342628231302469e-05,1.4999315681736766e-05,1.4055759852294934e-05,1.3452517563197997e-05
550,1.516814805256356e-05,1.5414435571883004e-05,1.53924856184525e-05,1.5559125075057663e-05,1.5184878623110224e-05,1.529348845059092e-05,1.535750991367153e-05,1.5459231883864817e-05,1.5437913304815633e-05,1.5364674156478188e-05,1.5344870184998088e-05,1.52773409776114e-05,1.52690094606631e-05,1.5038948034780542e-05,1.5019011944170028e-05,1.5184522255194176e-05,1.506436323557955e-05,1.4945954332344442e-05,1.5007016120705957e-05,1.4933399931034318e-05,1.4944241197394903e-05,1.4467273095666487e-05,1.4644019885928713e-05,1.4567730385328171e-05,1.4648566851717674e-05,1.441430719263101e-05,1.4134357805949791e-05,1.4465044857074755e-05,1.4106677228810776e-05,1.441309329130421e-05,1.377668262874014e-05,1.4397386919835418e-05,1.3482784987146463e-05,1.2931508705372011e-05
600,1.4252214348314633e-05,1.4500513983449208e-05,1.4510551021434988e-05,1.4682260964233451e-05,1.4379785114655945e-05,1.4512704172636677e-05,1.4602730555258795e-05,1.4721071022442156e-05,1.4712469952025094e-05,1.4660671309043178e-05,1.4655088680414738e-05,1.4606349336891078e-05,1.4607507367255249e-05,1.4392932565518084e-05,1.4381531545256944e-05,1.4549393248348962e-05,1.4439175263053695e-05,1.4332530670246418e-05,1.4397261053061175e-05,1.4328179990556045e-05,1.4339686317288977e-05,1.3887438921324561e-05,1.4058143404298388e-05,1.3993990255924789e-05,1.4074147994417832e-05,1.3854975347317749e-05,1.358491067581969e-05,1.3894318769792968e-05,1.356244311651156e-05,1.3850278911443254e-05,1.3249092394776749e-05,1.3836105683114645e-05,1.2948895501410439e-05,1.2444872376688784e-05
650,1.3427344042949317e-05,1.3675686606175117e-05,1.3712012399376407e-05,1.388701360790491e-05,1.364550332096688e-05,1.3798191468975825e-05,1.3909812776134555e-05,1.4041840352397745e-05,1.4044181666775564e-05,1.4010800815375968e-05,1.4017471557297516e-05,1.3985046626433301e-05,1.3994357177173707e-05,1.3793842147975822e-05,1.3789935592465353e-05,1.3959156697111773e-05,1.3857978381647752e-05,1.3761901330726271e-05,1.3829554002358685e-05,1.3764530335852523e-05,1.3776368766798447e-05,1.334712905367744e-05,1.3511894746027869e-05,1.3458603212001608e-05,1.3538030411502164e-05,1.3332555850190924e-05,1.3071869284918442e-05,1.3361939787194347e-05,1.3053899857556899e-05,1.3324535110401773e-05,1.2756132055917411e-05,1.3311579169315519e-05,1.2450335196638447e-05,1.1989396273145618e-05
700,1.2681022322777415e-05,1.2927975664911081e-05,1.2985945689364771e-05,1.3162854582290604e-05,1.2973358802005472e-05,1.314209406839013e-05,1.3271651614267063e-05,1.3414928842376149e-05,1.342671919194551e-05,1.3409202321656451e-05,1.342645668938038e-05,1.3408231554410541e-05,1.3424557929228143e-05,1.3236847890816245e-05,1.3239540881214601e-05,1.3409305604633152e-05,1.3316375185826352e-05,1.3229817505736518e-05,1.3299769171613249e-05,1.3238393885526257e-05,1.3250302234213202e-05,1.2842512865535132e-05,1.3001477929258482e-05,1.2957924157748994e-05,1.3036573951956266e-05,1.2843578414025317e-05,1.2591795931493511e-05,1.2864246536066577e-05,1.2577709555740337e-05,1.2832401497608328e-05,1.2294549665611588e-05,1.2820400238888324e-05,1.1983815885252886e-05,1.1562258098147105e-05
