Production rate of Ti-44 by GCR (all) in meteoroid 80cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,12.14,19.28,26.42,33.56,40.7,47.84,54.98,62.12,69.26,76.4,83.54,90.68,97.82,104.96,112.1,119.24,126.38,133.52,140.66,147.8,154.94,162.08,169.22,176.36,183.5,190.64,197.78,204.92,212.06,219.2,226.34,233.48,240.62,247.76,254.9,262.04,269.18,276.32,283.46,290.6
0,4.010419841251192e-05,3.8334513628695405e-05,3.7087690901639616e-05,3.6346544973101376e-05,3.3038914492607906e-05,3.179746084311945e-05,3.053508506160093e-05,2.9745643595677912e-05,2.9010033084891057e-05,2.830493935042087e-05,2.7503777722549576e-05,2.6903733343606374e-05,2.6434100504367037e-05,2.5870427018198465e-05,2.5426687746026914e-05,2.50045594362768e-05,2.452798583005075e-05,2.406436828018903e-05,2.3678329349765348e-05,2.3252815078073205e-05,2.2876888154314887e-05,2.2522406178646837e-05,2.2176474708729468e-05,2.1809719850193933e-05,2.1486420210736498e-05,2.119175406780124e-05,2.0964745756653443e-05,2.0745909005020614e-05,2.0580012272904924e-05,2.033265510359661e-05,2.015385491834226e-05,2.0012237925596804e-05,1.973594610874023e-05,1.9646316757948296e-05,1.9493991000306218e-05,1.9237134647417272e-05,1.90681903214099e-05,1.9075121296710783e-05,1.8818710610806636e-05,1.879446914701656e-05,1.8925050544947973e-05,1.86597867086361e-05,1.8334454858416927e-05,1.8224435936354415e-05
50,3.4665450962956574e-05,3.366043479161143e-05,3.284040056991121e-05,3.2361774181562035e-05,2.9835102830292192e-05,2.89370211169189e-05,2.796591714557084e-05,2.7356442468654564e-05,2.6776616938324906e-05,2.6206963586988388e-05,2.5537559903368274e-05,2.5033791850117658e-05,2.4638245949511066e-05,2.4150126680752898e-05,2.3765022390065263e-05,2.3402255871133374e-05,2.2982477005477975e-05,2.2575239788683297e-05,2.223776348585036e-05,2.1860717340356323e-05,2.1528022187374274e-05,2.1215754200888007e-05,2.09059316523176e-05,2.0577509869071134e-05,2.0286060995962067e-05,2.002084511952907e-05,1.981419606817972e-05,1.9614713926199316e-05,1.946421806261243e-05,1.9238241723017695e-05,1.9073227617283296e-05,1.894968583955887e-05,1.869090865882392e-05,1.861122158115835e-05,1.8470635018089694e-05,1.8235687839262386e-05,1.80796301685022e-05,1.8088925749256855e-05,1.7838349965535434e-05,1.7827158515726872e-05,1.7948838492044282e-05,1.7703610161449567e-05,1.73930153300878e-05,1.7294944234660374e-05
100,3.0599865424594336e-05,2.9985974668612365e-05,2.944108522349149e-05,2.9140300168436936e-05,2.7172487355379197e-05,2.652640840807347e-05,2.5776248209778054e-05,2.5305470546129082e-05,2.4847031841485965e-05,2.4383982720906936e-05,2.3820532568075512e-05,2.3395285708214027e-05,2.3060567463578425e-05,2.2635294467559653e-05,2.2299063220847595e-05,2.1985532785256784e-05,2.1613469873062596e-05,2.125361906959512e-05,2.0956749773093174e-05,2.0620623979943354e-05,2.0324327832049973e-05,2.0047732557068435e-05,1.9768689244685514e-05,1.947298623235253e-05,1.920898319714994e-05,1.8969147762382327e-05,1.8780236437132466e-05,1.8597714940696236e-05,1.8460474066846515e-05,1.8253301906586004e-05,1.8100497954285173e-05,1.7992280901045893e-05,1.774927566301708e-05,1.7678003159686352e-05,1.7547794143110535e-05,1.7332280683390677e-05,1.7187268178890017e-05,1.719862055327211e-05,1.6954113885960616e-05,1.6953615677662595e-05,1.706745806436752e-05,1.6839807688755917e-05,1.6543378222815982e-05,1.6454324474447262e-05
150,2.7373932923949563e-05,2.6998489045297247e-05,2.66445884600604e-05,2.6470066935872185e-05,2.4919317724590347e-05,2.4463594476017677e-05,2.3884917916577848e-05,2.3523152676681185e-05,2.316110213616041e-05,2.278351144309941e-05,2.2306628780080367e-05,2.194627929478576e-05,2.1662091830716876e-05,2.1289693427635596e-05,2.0994690364571136e-05,2.0722465087245086e-05,2.0390959352389338e-05,2.0071380011052876e-05,1.980885599978328e-05,1.950767389998777e-05,1.924235662138723e-05,1.8996219266949638e-05,1.8743694054578617e-05,1.8476198522178362e-05,1.8236072469993076e-05,1.8018297972332317e-05,1.784497672691155e-05,1.7677422792120717e-05,1.755169001900262e-05,1.7361182983832366e-05,1.721927222475233e-05,1.7124139454806058e-05,1.689541468694333e-05,1.6831342764415143e-05,1.6710359382003307e-05,1.6512186812006152e-05,1.6376731913370515e-05,1.638988468316992e-05,1.6151573136009638e-05,1.615987167171556e-05,1.62667341996213e-05,1.6054651698106598e-05,1.5771723940968657e-05,1.5689474533633147e-05
200,2.4732075465810507e-05,2.451433083909066e-05,2.4298493277298365e-05,2.4216312822319612e-05,2.2985760676821734e-05,2.2676798226584512e-05,2.223353648208786e-05,2.1958761008500396e-05,2.1674381172795973e-05,2.1366290829418482e-05,2.0961039500318955e-05,2.0654912002207006e-05,2.0413113339532498e-05,2.008562642813217e-05,1.98257527429879e-05,1.9588510494208703e-05,1.9291813278303462e-05,1.900677887836398e-05,1.8773583856355808e-05,1.850252735924479e-05,1.826381721347645e-05,1.8043912076272188e-05,1.781443818656983e-05,1.7571466931560035e-05,1.7352278966880204e-05,1.7153819640764253e-05,1.6994300044807542e-05,1.6840035492252815e-05,1.6724367692023907e-05,1.654872418473968e-05,1.641659064294053e-05,1.6332697176674205e-05,1.6116962164181868e-05,1.6059108789300407e-05,1.5946369612564262e-05,1.5763750623672385e-05,1.5636632342183746e-05,1.5651369065920108e-05,1.5419294957977255e-05,1.5434849474671982e-05,1.5535439828554392e-05,1.5337251291248703e-05,1.5067127709862173e-05,1.4989992529983225e-05
250,2.2522067331962873e-05,2.241371649293923e-05,2.2300343731323834e-05,2.228707780881519e-05,2.1307545611180975e-05,2.1113474425645876e-05,2.077860558928995e-05,2.0574089811940176e-05,2.0353041600780373e-05,2.0102138912681117e-05,1.9756783692132916e-05,1.949637258066356e-05,1.929042943429841e-05,1.9001403728097154e-05,1.877172018162526e-05,1.8564348665791738e-05,1.8297774875399977e-05,1.804261077983633e-05,1.7834668173845116e-05,1.758979615172925e-05,1.737411876321876e-05,1.717697571422355e-05,1.6967692513417266e-05,1.6746199173409724e-05,1.6545497418863008e-05,1.6364055977933746e-05,1.6216829547247214e-05,1.6074427878010738e-05,1.5967619000164397e-05,1.5805304269200176e-05,1.5681992012607802e-05,1.5607804637900517e-05,1.540393258621563e-05,1.5351492229355175e-05,1.5246155509337093e-05,1.5077550477175661e-05,1.495775439717122e-05,1.4973890358694667e-05,1.4748032261305459e-05,1.4769581166522577e-05,1.4864494139232626e-05,1.4678786050427823e-05,1.4420767563425666e-05,1.4347446451663455e-05
300,2.0643715528538172e-05,2.0613637220973952e-05,2.0577711086849284e-05,2.0616610942104632e-05,1.9837078772168127e-05,1.9734009380216508e-05,1.9486856999601373e-05,1.9339648764319063e-05,1.917074391354087e-05,1.8967358036389216e-05,1.8672531235256902e-05,1.84509657835465e-05,1.827557054316684e-05,1.8019718214022917e-05,1.78161736316492e-05,1.7634488799351154e-05,1.7394172393979324e-05,1.7165016808457643e-05,1.6978973544959772e-05,1.6757022418828786e-05,1.6561421606019122e-05,1.6384158789099478e-05,1.6192677692817218e-05,1.5990114926090496e-05,1.5805831479678277e-05,1.5639467228396852e-05,1.5503248196684332e-05,1.537148687192915e-05,1.5272519296461273e-05,1.512221356279581e-05,1.5006896438581167e-05,1.4941130990091388e-05,1.4748131056581255e-05,1.4700435358327803e-05,1.460177465896001e-05,1.4445847341664532e-05,1.4332522323186025e-05,1.4349898444890622e-05,1.4130187054213084e-05,1.4156690460827772e-05,1.4246433491996175e-05,1.4071998692936649e-05,1.3825403016730262e-05,1.3754891251941215e-05
350,1.902701467839221e-05,1.905412870359709e-05,1.907750298106383e-05,1.9156276985569495e-05,1.8538172964770454e-05,1.8507839966168164e-05,1.833230929917633e-05,1.8232224034815138e-05,1.81065996019066e-05,1.7943021676931582e-05,1.7691145892546356e-05,1.7502810913875334e-05,1.735360564915044e-05,1.71265468991611e-05,1.69457820529335e-05,1.678632390421852e-05,1.656904047814794e-05,1.6362670111864978e-05,1.6195739431924687e-05,1.5993978011340537e-05,1.5815984519503693e-05,1.565618532833511e-05,1.548049156830591e-05,1.5294709106306517e-05,1.5125083647606706e-05,1.4972143396636902e-05,1.484582611176438e-05,1.4723649814548085e-05,1.4631657852170585e-05,1.4492217098663627e-05,1.4384175690671589e-05,1.4325749144668543e-05,1.4142744641042276e-05,1.4099233624889157e-05,1.4006618399526737e-05,1.3862201404981262e-05,1.3754627319506807e-05,1.3773105544257011e-05,1.355943617008553e-05,1.3590032003152553e-05,1.3675043352609748e-05,1.3510841163556965e-05,1.3275013053413845e-05,1.3206532400008501e-05
400,1.762101169843945e-05,1.769051107118504e-05,1.7759704356360276e-05,1.7869145243110207e-05,1.7382725712253926e-05,1.741093731840783e-05,1.7294319983308358e-05,1.723324393839582e-05,1.7143788825027655e-05,1.7013796577129844e-05,1.679867301652241e-05,1.663893301384699e-05,1.6512306196806924e-05,1.6310380439706855e-05,1.614958317650107e-05,1.6009464436715617e-05,1.581249956243947e-05,1.562619972390544e-05,1.5476044392026065e-05,1.5292165844362476e-05,1.5129699131442487e-05,1.4985319837017173e-05,1.482369887880729e-05,1.4652866532602876e-05,1.4496388427382206e-05,1.4355453537395994e-05,1.4238079985822197e-05,1.4124571881990442e-05,1.4038813802509291e-05,1.3909239483133738e-05,1.3807843184494751e-05,1.3755836510095167e-05,1.3582047578039066e-05,1.354224807467441e-05,1.3455128062255101e-05,1.3321195527366742e-05,1.3218758652001339e-05,1.323821836595785e-05,1.303046068913899e-05,1.306443069236106e-05,1.3145092762092812e-05,1.2990218769628773e-05,1.2764535391168912e-05,1.2697482835121247e-05
