Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are alphas.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 7.33625E-07 1.66643E-12 6.53361E-13 6.15452E-13 4.51152E-13 3.54806E-13 3.07439E-13 1.54870E-13 1.31179E-13 1.14416E-13 7.71772E-14 5.43827E-14 4.88928E-14 4.07724E-14 4.80032E-14 5.49221E-14 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 4.13005E-07 3.95187E-08 1.09161E-09 7.35787E-10 5.59309E-10 4.48908E-10 4.16734E-10 3.31768E-10 2.58817E-10 2.27332E-10 1.84256E-10 1.75988E-10 1.71054E-10 1.39764E-10 1.46210E-10 1.19875E-10 1.95319E-10 1.06087E-10 1.51830E-10 1.21459E-10 1.51999E-10 8.64453E-11
0.1 3.19936E-07 3.54224E-07 3.19080E-07 2.55041E-07 5.40717E-08 3.93781E-08 3.33554E-08 2.66717E-08 2.28135E-08 2.05675E-08 1.79608E-08 1.65291E-08 1.49272E-08 1.39162E-08 1.33390E-08 1.28125E-08 1.27889E-08 1.14511E-08 1.08744E-08 1.11330E-08 1.02872E-08 1.03606E-08
0.18 3.52898E-07 4.40801E-07 5.04930E-07 5.16494E-07 4.77308E-07 3.89428E-07 3.05868E-07 1.68631E-07 1.37978E-07 1.24831E-07 1.12418E-07 9.90427E-08 9.26108E-08 8.55303E-08 8.23916E-08 8.44697E-08 7.70164E-08 8.01659E-08 7.26192E-08 6.46424E-08 6.79482E-08 8.22580E-08
0.3 5.32035E-07 7.36430E-07 7.75388E-07 9.29487E-07 9.16555E-07 9.54785E-07 9.29056E-07 8.47150E-07 7.28999E-07 6.66639E-07 5.80558E-07 4.58449E-07 4.35355E-07 3.87442E-07 3.60750E-07 3.29739E-07 3.23828E-07 3.35631E-07 2.94789E-07 2.91018E-07 2.87083E-07 2.81868E-07
0.56 5.07573E-06 5.49513E-06 8.35981E-06 8.17466E-06 8.12156E-06 8.11970E-06 7.76550E-06 6.91684E-06 7.57019E-06 5.35455E-06 4.63864E-06 4.18423E-06 3.80482E-06 3.74343E-06 3.07165E-06 3.17288E-06 2.83232E-06 2.77110E-06 3.07733E-06 2.18850E-06 1.97591E-06 2.36295E-06
1.0 3.10690E-05 3.68877E-05 4.47913E-05 5.68473E-05 4.89888E-05 7.01999E-05 5.57495E-05 6.29276E-05 5.72939E-05 6.18726E-05 1.02330E-04 5.61437E-05 5.13299E-05 6.53158E-05 5.29042E-05 5.31053E-05 4.35478E-05 4.68431E-05 1.34235E-04 3.97268E-05 4.21822E-05 3.61451E-05
3.0 1.65424E-04 1.84025E-04 2.07046E-04 2.33694E-04 2.49598E-04 3.28479E-04 3.01411E-04 3.31810E-04 3.71179E-04 3.88365E-04 3.92147E-04 3.70741E-04 4.03118E-04 4.21464E-04 3.79091E-04 3.64558E-04 3.96302E-04 3.52904E-04 3.63830E-04 3.34442E-04 3.08747E-04 5.88106E-04
10.0 6.04409E-04 6.81851E-04 8.13960E-04 8.39690E-04 1.01581E-03 1.17667E-03 1.15771E-03 1.41578E-03 1.40798E-03 1.50309E-03 1.48467E-03 1.50011E-03 1.48064E-03 1.67679E-03 1.59227E-03 1.58805E-03 1.73341E-03 1.56008E-03 1.50714E-03 1.60176E-03 1.63066E-03 1.65426E-03
30.0 1.55856E-03 1.73967E-03 1.95170E-03 2.11482E-03 2.33202E-03 2.65703E-03 2.86098E-03 3.20240E-03 3.81341E-03 3.67314E-03 3.76790E-03 3.78802E-03 4.07824E-03 3.98288E-03 4.04642E-03 4.26487E-03 4.32797E-03 4.51928E-03 4.42575E-03 4.19425E-03 4.46712E-03 3.96043E-03
100.0 3.93977E-03 4.07573E-03 4.52518E-03 4.84441E-03 5.70411E-03 5.98355E-03 6.15901E-03 7.01394E-03 6.88614E-03 7.78041E-03 8.75686E-03 8.81265E-03 8.76252E-03 9.34700E-03 9.81209E-03 9.62771E-03 1.14950E-02 1.06116E-02 1.58139E-02 1.14884E-02 1.57697E-02 1.24454E-02
