Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are protons.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 2.68712E-06 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 1.82716E-06 4.22403E-07 8.61346E-13 5.40824E-13 3.93761E-13 3.66943E-13 2.31108E-13 1.76022E-13 1.17257E-13 5.03737E-14 9.88589E-14 2.25747E-14 1.81649E-14 2.20389E-14 9.98903E-15 9.11067E-15 1.92355E-14 6.58039E-15 2.25369E-16 4.65420E-16 1.59358E-15 0.00000E+00
0.1 1.19179E-06 1.16462E-06 9.66408E-07 7.53893E-07 3.26896E-09 2.46461E-09 2.09885E-09 1.81706E-09 1.48688E-09 1.24403E-09 1.05594E-09 1.02013E-09 8.10391E-10 7.40863E-10 8.26054E-10 8.04369E-10 5.65984E-10 7.49431E-10 4.43835E-10 1.09507E-09 4.95636E-10 4.16564E-10
0.18 1.21819E-06 1.23075E-06 1.09624E-06 9.99719E-07 7.86395E-07 5.87371E-07 3.88272E-07 1.63270E-08 1.41169E-08 1.25178E-08 1.19703E-08 1.04806E-08 1.02515E-08 8.75991E-09 8.32421E-09 8.40738E-09 7.11593E-09 7.25231E-09 7.08323E-09 6.61948E-09 8.64878E-09 7.80890E-09
0.3 1.29648E-06 1.37513E-06 1.35081E-06 1.30724E-06 1.09237E-06 9.62091E-07 8.72818E-07 6.65008E-07 4.88658E-07 3.25278E-07 1.49917E-07 4.78643E-08 4.46314E-08 4.12594E-08 3.88568E-08 3.80920E-08 3.59444E-08 3.76391E-08 3.45137E-08 3.76333E-08 3.80217E-08 4.27641E-08
0.56 3.16091E-06 4.43319E-06 2.93725E-06 2.89984E-06 4.15162E-06 3.03639E-06 2.74456E-06 2.28875E-06 1.86964E-06 1.65169E-06 1.40376E-06 1.17117E-06 9.89750E-07 9.03000E-07 8.78490E-07 7.03238E-07 5.94978E-07 5.19195E-07 4.99122E-07 4.47550E-07 3.79856E-07 2.41828E-07
1.0 9.03946E-06 1.16438E-05 1.36364E-05 1.28529E-05 1.42557E-05 1.83972E-05 1.77057E-05 1.57629E-05 1.57089E-05 1.39956E-05 1.64812E-05 1.25763E-05 1.35595E-05 1.16070E-05 1.17137E-05 1.90262E-05 1.19224E-05 1.11936E-05 9.22446E-06 7.99025E-06 8.30440E-06 5.28984E-06
3.0 3.99271E-05 4.63645E-05 5.42358E-05 7.45805E-05 7.11039E-05 8.05382E-05 7.76329E-05 8.60400E-05 9.73347E-05 1.01844E-04 9.07268E-05 9.12734E-05 9.65046E-05 9.86854E-05 1.29094E-04 1.03810E-04 9.27353E-05 9.81901E-05 8.76391E-05 1.37564E-04 1.07154E-04 7.83859E-05
10.0 1.45157E-04 1.62524E-04 1.95795E-04 2.22177E-04 2.42467E-04 2.68264E-04 3.05481E-04 3.03305E-04 3.67573E-04 3.77450E-04 3.73801E-04 3.72574E-04 3.66295E-04 3.72643E-04 3.60876E-04 3.76391E-04 4.53351E-04 4.10697E-04 4.00551E-04 3.81438E-04 4.16061E-04 3.19422E-04
30.0 3.71074E-04 4.29893E-04 4.73942E-04 4.95271E-04 5.74236E-04 6.27679E-04 6.66620E-04 7.88026E-04 7.75210E-04 8.42635E-04 8.47216E-04 8.73591E-04 9.53575E-04 9.03832E-04 9.64510E-04 9.25482E-04 9.88073E-04 9.29766E-04 1.06023E-03 9.24100E-04 9.47327E-04 2.12835E-03
100.0 9.37399E-04 9.93171E-04 1.09114E-03 1.23708E-03 1.32354E-03 1.42695E-03 1.52144E-03 1.64992E-03 1.95595E-03 2.06610E-03 2.22207E-03 2.29179E-03 2.58392E-03 2.33125E-03 2.28385E-03 2.46357E-03 2.75734E-03 2.59333E-03 2.82273E-03 2.61778E-03 2.55451E-03 2.94287E-03
