Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are alphas.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 7.92683E-07 7.85272E-13 6.88920E-13 6.48981E-13 4.75705E-13 3.74093E-13 3.24143E-13 1.63326E-13 1.38355E-13 1.20638E-13 8.13766E-14 5.73481E-14 5.15628E-14 4.30047E-14 5.06326E-14 5.79017E-14 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 4.41936E-07 3.85919E-08 8.50021E-10 7.26425E-10 5.94937E-10 4.78585E-10 4.43943E-10 3.49304E-10 2.74592E-10 2.42705E-10 1.96084E-10 1.88272E-10 1.81221E-10 1.49779E-10 1.54654E-10 1.25781E-10 2.11004E-10 1.12778E-10 1.64082E-10 1.31281E-10 1.01688E-10 9.34615E-11
0.1 3.13231E-07 3.12326E-07 2.72855E-07 2.23943E-07 4.30341E-08 3.59799E-08 3.26233E-08 2.75738E-08 2.38365E-08 2.13519E-08 1.89012E-08 1.71746E-08 1.56226E-08 1.45364E-08 1.39428E-08 1.32322E-08 1.33346E-08 1.19619E-08 1.13756E-08 1.16930E-08 1.04523E-08 1.11999E-08
0.18 3.24001E-07 3.56568E-07 3.68845E-07 3.67917E-07 3.42392E-07 2.98780E-07 2.47741E-07 1.48704E-07 1.30579E-07 1.21714E-07 1.11188E-07 9.93411E-08 9.40714E-08 8.76763E-08 8.37241E-08 8.46765E-08 7.83493E-08 8.07814E-08 7.40775E-08 6.72703E-08 6.78656E-08 8.02199E-08
0.3 4.32843E-07 4.92831E-07 5.23357E-07 5.57550E-07 5.68191E-07 5.91193E-07 5.90061E-07 5.74212E-07 5.31917E-07 4.90004E-07 4.33422E-07 3.90267E-07 3.66489E-07 3.48071E-07 3.32963E-07 3.13162E-07 3.05939E-07 3.13893E-07 2.88401E-07 2.85374E-07 2.65716E-07 2.79355E-07
0.56 7.60589E-07 8.19508E-07 8.86944E-07 9.54597E-07 1.04676E-06 1.13803E-06 1.16522E-06 1.24279E-06 1.28015E-06 1.29769E-06 1.32083E-06 1.30222E-06 1.32169E-06 1.29036E-06 1.26690E-06 1.23942E-06 1.22675E-06 1.20824E-06 1.17224E-06 1.21976E-06 1.09580E-06 1.19514E-06
1.0 1.13189E-06 1.22615E-06 1.32446E-06 1.45538E-06 1.56381E-06 1.67674E-06 1.77329E-06 1.92873E-06 2.01655E-06 2.08950E-06 2.16072E-06 2.20258E-06 2.19222E-06 2.19773E-06 2.20171E-06 2.30889E-06 2.33219E-06 2.24734E-06 2.29576E-06 2.38969E-06 2.22230E-06 2.22800E-06
3.0 2.15364E-06 2.33937E-06 2.58510E-06 2.71587E-06 2.99086E-06 3.22111E-06 3.41559E-06 3.66307E-06 3.92495E-06 4.13230E-06 4.25732E-06 4.53642E-06 4.59834E-06 4.73174E-06 4.72328E-06 4.87098E-06 5.01638E-06 4.90494E-06 4.80450E-06 4.85243E-06 4.73436E-06 4.81137E-06
10.0 4.38914E-06 4.70550E-06 5.18017E-06 5.40208E-06 6.08453E-06 6.60238E-06 7.02099E-06 7.83684E-06 8.38380E-06 8.84286E-06 9.20066E-06 9.55026E-06 9.78841E-06 1.02048E-05 1.04407E-05 1.07777E-05 1.09216E-05 1.06832E-05 1.08792E-05 1.10759E-05 1.11238E-05 1.20340E-05
30.0 8.02875E-06 8.53822E-06 9.17166E-06 9.72627E-06 1.08523E-05 1.17083E-05 1.25136E-05 1.39737E-05 1.54225E-05 1.63010E-05 1.72372E-05 1.81900E-05 1.88035E-05 1.94270E-05 1.97113E-05 2.02740E-05 2.04472E-05 2.18973E-05 2.14177E-05 2.10422E-05 2.03535E-05 2.51942E-05
100.0 1.58102E-05 1.70240E-05 1.84449E-05 1.88007E-05 2.18680E-05 2.26841E-05 2.36323E-05 2.63373E-05 2.84802E-05 3.12183E-05 3.34754E-05 3.70615E-05 3.83790E-05 4.00959E-05 4.12366E-05 4.07855E-05 4.41657E-05 4.60515E-05 4.65291E-05 4.82318E-05 4.91197E-05 4.51280E-05
