Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are protons.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 7.50172E-08 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 1.45107E-07 3.22594E-09 7.29020E-13 5.69664E-13 3.73598E-13 3.12868E-13 2.43643E-13 1.85570E-13 1.23618E-13 5.31058E-14 1.04222E-13 2.37994E-14 1.91503E-14 2.32345E-14 1.05307E-14 9.60496E-15 2.02792E-14 6.93678E-15 2.37590E-16 4.90658E-16 1.67999E-15 0.00000E+00
0.1 3.06214E-07 3.11882E-07 2.70423E-07 2.01826E-07 3.09091E-09 2.61145E-09 2.22711E-09 1.91850E-09 1.53989E-09 1.32785E-09 1.12748E-09 1.08430E-09 8.58945E-10 7.65147E-10 8.55933E-10 8.68265E-10 5.82542E-10 8.09719E-10 4.56901E-10 1.16517E-09 4.60321E-10 4.48880E-10
0.18 2.74262E-07 2.89979E-07 2.64598E-07 2.48461E-07 2.11075E-07 1.65852E-07 1.13321E-07 1.70724E-08 1.47372E-08 1.30879E-08 1.24238E-08 1.09207E-08 1.06336E-08 9.20774E-09 8.65350E-09 8.76001E-09 7.54625E-09 7.54794E-09 7.33675E-09 6.67761E-09 8.78722E-09 7.99755E-09
0.3 2.80333E-07 2.99988E-07 3.15263E-07 3.06444E-07 2.74254E-07 2.52095E-07 2.34045E-07 2.00796E-07 1.62403E-07 1.25914E-07 7.25269E-08 4.83494E-08 4.54735E-08 4.15177E-08 3.93725E-08 3.89652E-08 3.62750E-08 3.78996E-08 3.53744E-08 3.91208E-08 3.88213E-08 4.45794E-08
0.56 2.14883E-06 3.50162E-06 1.85645E-06 1.85741E-06 3.30800E-06 2.08110E-06 1.84701E-06 1.45589E-06 1.12431E-06 9.29749E-07 7.18655E-07 5.84169E-07 4.83318E-07 4.11738E-07 4.36050E-07 3.55608E-07 2.91849E-07 2.64993E-07 2.84000E-07 2.43944E-07 2.35762E-07 1.60193E-07
1.0 8.32008E-06 1.11542E-05 1.32669E-05 1.24237E-05 1.40002E-05 1.85305E-05 1.78630E-05 1.57944E-05 1.57438E-05 1.40355E-05 1.66437E-05 1.25439E-05 1.36833E-05 1.15762E-05 1.17618E-05 1.96992E-05 1.20820E-05 1.12648E-05 9.20957E-06 7.80895E-06 8.27244E-06 4.95636E-06
3.0 4.15530E-05 4.84720E-05 5.70020E-05 7.89944E-05 7.52582E-05 8.54647E-05 8.23112E-05 9.14975E-05 1.03724E-04 1.08670E-04 9.65850E-05 9.72130E-05 1.02908E-04 1.05337E-04 1.38314E-04 1.10939E-04 9.87943E-05 1.04896E-04 9.34261E-05 1.47587E-04 1.14667E-04 8.28523E-05
10.0 1.54673E-04 1.73229E-04 2.09065E-04 2.37689E-04 2.59534E-04 2.87277E-04 3.27698E-04 3.25249E-04 3.94636E-04 4.05366E-04 4.01409E-04 4.00096E-04 3.93387E-04 3.99774E-04 3.87454E-04 4.04370E-04 4.87978E-04 4.41349E-04 4.30434E-04 4.09747E-04 4.47021E-04 3.42843E-04
30.0 3.98099E-04 4.61226E-04 5.08447E-04 5.30992E-04 6.15879E-04 6.73452E-04 7.14828E-04 8.45554E-04 8.31428E-04 9.03838E-04 9.08200E-04 9.36983E-04 1.02345E-03 9.69517E-04 1.03499E-03 9.92505E-04 1.06053E-03 9.97460E-04 1.13882E-03 9.91957E-04 1.01714E-03 2.29899E-03
100.0 1.00276E-03 1.06246E-03 1.16651E-03 1.32340E-03 1.41440E-03 1.52448E-03 1.62639E-03 1.76432E-03 2.09424E-03 2.21268E-03 2.37969E-03 2.45112E-03 2.77153E-03 2.49537E-03 2.44279E-03 2.63825E-03 2.95645E-03 2.77719E-03 3.02374E-03 2.80057E-03 2.73424E-03 3.15315E-03
