Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are alphas.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 8.07924E-07 7.82612E-13 6.85954E-13 6.46214E-13 4.73657E-13 3.72472E-13 3.22721E-13 1.62649E-13 1.37791E-13 1.20108E-13 8.10227E-14 5.71037E-14 5.13480E-14 4.28315E-14 5.04308E-14 5.76427E-14 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 4.50714E-07 3.91083E-08 8.62236E-10 7.36981E-10 6.03761E-10 4.85710E-10 4.50629E-10 3.54608E-10 2.78706E-10 2.46540E-10 1.99199E-10 1.91261E-10 1.84221E-10 1.52256E-10 1.57208E-10 1.27888E-10 2.14759E-10 1.14660E-10 1.67019E-10 1.33656E-10 1.03451E-10 9.51778E-11
0.1 3.19323E-07 3.18455E-07 2.78175E-07 2.28261E-07 4.37811E-08 3.66077E-08 3.31951E-08 2.80600E-08 2.42583E-08 2.17313E-08 1.92383E-08 1.74829E-08 1.59039E-08 1.47986E-08 1.41951E-08 1.34731E-08 1.35756E-08 1.21798E-08 1.15821E-08 1.19032E-08 1.06419E-08 1.14051E-08
0.18 3.29570E-07 3.63012E-07 3.75596E-07 3.74737E-07 3.48810E-07 3.04381E-07 2.52357E-07 1.51407E-07 1.32959E-07 1.23939E-07 1.13222E-07 1.01160E-07 9.57864E-08 8.92841E-08 8.52580E-08 8.62295E-08 7.97834E-08 8.22736E-08 7.54383E-08 6.85138E-08 6.91138E-08 8.17169E-08
0.3 4.39034E-07 5.00305E-07 5.31701E-07 5.66844E-07 5.78093E-07 6.01759E-07 6.00746E-07 5.84796E-07 5.41785E-07 4.99104E-07 4.41419E-07 3.97475E-07 3.73256E-07 3.54518E-07 3.39124E-07 3.18951E-07 3.11601E-07 3.19708E-07 2.93697E-07 2.90685E-07 2.70619E-07 2.84624E-07
0.56 7.71824E-07 8.32138E-07 9.01045E-07 9.70208E-07 1.06446E-06 1.15767E-06 1.18560E-06 1.26502E-06 1.30328E-06 1.32136E-06 1.34506E-06 1.32616E-06 1.34611E-06 1.31427E-06 1.29042E-06 1.26244E-06 1.24958E-06 1.23075E-06 1.19412E-06 1.24249E-06 1.11628E-06 1.21766E-06
1.0 1.14979E-06 1.24600E-06 1.34634E-06 1.47980E-06 1.59061E-06 1.70581E-06 1.80433E-06 1.96298E-06 2.05270E-06 2.12719E-06 2.19972E-06 2.24259E-06 2.23203E-06 2.23780E-06 2.24189E-06 2.35109E-06 2.37512E-06 2.28855E-06 2.33791E-06 2.43304E-06 2.26321E-06 2.26893E-06
3.0 2.18900E-06 2.37797E-06 2.62832E-06 2.76140E-06 3.04131E-06 3.27578E-06 3.47379E-06 3.72588E-06 3.99257E-06 4.20387E-06 4.33125E-06 4.61563E-06 4.67868E-06 4.81472E-06 4.80589E-06 4.95643E-06 5.10470E-06 4.99103E-06 4.88871E-06 4.93748E-06 4.81753E-06 4.89582E-06
10.0 4.46415E-06 4.78600E-06 5.26925E-06 5.49491E-06 6.18952E-06 6.71680E-06 7.14274E-06 7.97275E-06 8.52983E-06 8.99742E-06 9.36195E-06 9.71707E-06 9.96010E-06 1.03841E-05 1.06244E-05 1.09672E-05 1.11135E-05 1.08715E-05 1.10712E-05 1.12699E-05 1.13196E-05 1.22445E-05
30.0 8.16898E-06 8.68779E-06 9.33216E-06 9.89656E-06 1.10424E-05 1.19140E-05 1.27335E-05 1.42192E-05 1.56947E-05 1.65885E-05 1.75418E-05 1.85117E-05 1.91347E-05 1.97702E-05 2.00607E-05 2.06347E-05 2.08087E-05 2.22853E-05 2.17967E-05 2.14161E-05 2.07132E-05 2.56464E-05
100.0 1.60905E-05 1.73263E-05 1.87723E-05 1.91323E-05 2.22558E-05 2.30870E-05 2.40514E-05 2.68049E-05 2.89868E-05 3.17746E-05 3.40699E-05 3.77236E-05 3.90658E-05 4.08148E-05 4.19717E-05 4.15122E-05 4.49528E-05 4.68725E-05 4.73626E-05 4.90953E-05 4.99904E-05 4.59392E-05
