Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are protons.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 7.65010E-08 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 1.46076E-07 3.28946E-09 7.25777E-13 5.67108E-13 3.71925E-13 3.11465E-13 2.42552E-13 1.84739E-13 1.23066E-13 5.28697E-14 1.03759E-13 2.36930E-14 1.90643E-14 2.31301E-14 1.04833E-14 9.56155E-15 2.01875E-14 6.90594E-15 2.36535E-16 4.88479E-16 1.67253E-15 0.00000E+00
0.1 3.12192E-07 3.17898E-07 2.75610E-07 2.05661E-07 3.13697E-09 2.65122E-09 2.26146E-09 1.94874E-09 1.56458E-09 1.34940E-09 1.14575E-09 1.10237E-09 8.73140E-10 7.77862E-10 8.70507E-10 8.83034E-10 5.92147E-10 8.24170E-10 4.64571E-10 1.16978E-09 4.68179E-10 4.55724E-10
0.18 2.79700E-07 2.95689E-07 2.69778E-07 2.53303E-07 2.15133E-07 1.69005E-07 1.15442E-07 1.73741E-08 1.49987E-08 1.33218E-08 1.26470E-08 1.11168E-08 1.08262E-08 9.37395E-09 8.80947E-09 8.91960E-09 7.68402E-09 7.68458E-09 7.47094E-09 6.79672E-09 8.94622E-09 8.14032E-09
0.3 2.85909E-07 3.05923E-07 3.21495E-07 3.12455E-07 2.79590E-07 2.56977E-07 2.38564E-07 2.04641E-07 1.65484E-07 1.28271E-07 7.38447E-08 4.92316E-08 4.63045E-08 4.22806E-08 4.00899E-08 3.96803E-08 3.69398E-08 3.85917E-08 3.59995E-08 3.98432E-08 3.95382E-08 4.54206E-08
0.56 2.19545E-06 3.57809E-06 1.89647E-06 1.89744E-06 3.38010E-06 2.12599E-06 1.88671E-06 1.48696E-06 1.14808E-06 9.49239E-07 7.33467E-07 5.96082E-07 4.93053E-07 4.19864E-07 4.44764E-07 3.62577E-07 2.97476E-07 2.70055E-07 2.89468E-07 2.48579E-07 2.40155E-07 1.63102E-07
1.0 8.50206E-06 1.13990E-05 1.35583E-05 1.26963E-05 1.43077E-05 1.89383E-05 1.82560E-05 1.61416E-05 1.60898E-05 1.43439E-05 1.70097E-05 1.28193E-05 1.39840E-05 1.18302E-05 1.20200E-05 2.01332E-05 1.23473E-05 1.15121E-05 9.41138E-06 7.97966E-06 8.45365E-06 5.06414E-06
3.0 4.24561E-05 4.95243E-05 5.82403E-05 8.07180E-05 7.68945E-05 8.73244E-05 8.41000E-05 9.34874E-05 1.05981E-04 1.11037E-04 9.86831E-05 9.93265E-05 1.05149E-04 1.07631E-04 1.41334E-04 1.13358E-04 1.00943E-04 1.07181E-04 9.54580E-05 1.50815E-04 1.17169E-04 8.46618E-05
10.0 1.57911E-04 1.76859E-04 2.13450E-04 2.42705E-04 2.64979E-04 2.93308E-04 3.34600E-04 3.32068E-04 4.02959E-04 4.13920E-04 4.09873E-04 4.08526E-04 4.01671E-04 4.08175E-04 3.95599E-04 4.12890E-04 4.98335E-04 4.50619E-04 4.39486E-04 4.18312E-04 4.56429E-04 3.50090E-04
30.0 4.05836E-04 4.70260E-04 5.18349E-04 5.41304E-04 6.27844E-04 6.86583E-04 7.28740E-04 8.62092E-04 8.47643E-04 9.21484E-04 9.25815E-04 9.55286E-04 1.04355E-03 9.88519E-04 1.05525E-03 1.01197E-03 1.08143E-03 1.01701E-03 1.16142E-03 1.01150E-03 1.03737E-03 2.34744E-03
100.0 1.02107E-03 1.08192E-03 1.18774E-03 1.34765E-03 1.43977E-03 1.55192E-03 1.65599E-03 1.79636E-03 2.13306E-03 2.25382E-03 2.42392E-03 2.49626E-03 2.82429E-03 2.54157E-03 2.48760E-03 2.68743E-03 3.01256E-03 2.82888E-03 3.08059E-03 2.85218E-03 2.78496E-03 3.21167E-03
