Yield function of production of Ti44 by protons, neutrons, alphas, pi+ and pi-, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are alphas.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 120 140 160 180 200 240 280 320 340 380 429.6
0.01 2.95323E-04 5.51630E-09 4.04664E-09 3.32700E-09 2.47560E-09 1.82480E-09 1.44032E-09 1.03436E-09 6.52754E-10 4.93461E-10 3.89245E-10 2.56083E-10 1.48338E-10 1.44910E-10 1.09620E-10 8.14750E-11 6.04270E-11 1.31675E-11 1.52370E-11 1.85081E-11 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 4.03000E-04 4.20747E-05 8.13598E-07 6.54732E-07 5.19775E-07 4.21288E-07 3.49333E-07 2.76416E-07 2.03056E-07 1.56019E-07 1.31568E-07 1.03369E-07 8.38822E-08 6.77836E-08 5.49845E-08 4.01577E-08 3.20619E-08 2.44168E-08 1.54022E-08 1.40218E-08 7.32254E-09 4.61544E-09 2.86115E-09 1.63885E-09 0.00000E+00
0.1 6.01163E-04 4.98730E-04 3.55547E-04 2.38347E-04 3.03723E-05 2.49179E-05 2.12766E-05 1.71059E-05 1.41528E-05 1.19250E-05 9.95770E-06 8.72840E-06 7.61741E-06 6.69594E-06 5.82384E-06 4.58562E-06 3.65296E-06 3.00441E-06 2.37325E-06 2.01829E-06 1.43850E-06 1.15950E-06 1.56497E-06 1.08920E-06 6.65298E-07
0.3 9.55768E-04 9.44822E-04 8.90889E-04 8.47996E-04 7.64707E-04 7.00404E-04 6.31438E-04 5.17480E-04 4.16502E-04 3.29267E-04 2.58654E-04 2.24662E-04 1.98960E-04 1.85402E-04 1.69057E-04 1.49556E-04 1.26666E-04 1.08988E-04 9.89816E-05 8.69565E-05 7.26001E-05 5.79245E-05 4.77916E-05 4.69339E-05 3.67761E-05
1.0 6.70719E-04 7.84608E-04 9.26890E-04 1.00595E-03 1.23388E-03 1.33903E-03 1.48307E-03 1.62365E-03 1.68129E-03 1.75459E-03 1.75564E-03 1.73892E-03 1.76401E-03 1.72193E-03 1.65304E-03 1.54325E-03 1.44287E-03 1.35785E-03 1.25506E-03 1.18487E-03 1.09318E-03 9.25025E-04 8.72329E-04 8.34348E-04 8.13121E-04
3.0 1.64803E-03 1.87302E-03 2.14973E-03 2.40198E-03 2.78692E-03 3.00713E-03 3.26159E-03 3.54128E-03 3.77950E-03 3.92510E-03 3.99319E-03 4.04723E-03 4.10959E-03 4.07419E-03 4.11373E-03 4.13325E-03 4.00842E-03 3.90627E-03 3.84275E-03 3.75869E-03 3.43816E-03 3.25492E-03 3.27830E-03 2.99079E-03 3.19952E-03
10.0 3.78234E-03 4.13126E-03 4.63398E-03 4.95508E-03 5.72555E-03 6.24011E-03 6.65912E-03 7.45729E-03 8.03145E-03 8.72332E-03 8.86056E-03 9.19438E-03 9.39225E-03 9.60358E-03 9.89097E-03 9.82733E-03 9.97139E-03 9.77385E-03 9.69152E-03 9.80491E-03 9.46189E-03 9.38568E-03 8.90698E-03 8.84769E-03 9.46026E-03
30.0 7.46091E-03 8.00489E-03 8.67338E-03 9.23308E-03 1.05788E-02 1.13072E-02 1.22076E-02 1.35619E-02 1.48588E-02 1.58020E-02 1.67937E-02 1.74294E-02 1.81578E-02 1.90685E-02 1.92779E-02 2.01519E-02 2.09280E-02 2.15000E-02 2.14192E-02 2.16745E-02 2.18309E-02 2.19424E-02 2.07445E-02 2.05074E-02 2.12733E-02
100.0 1.69805E-02 1.78985E-02 1.95933E-02 2.02451E-02 2.24466E-02 2.44422E-02 2.64260E-02 2.86314E-02 3.09676E-02 3.33886E-02 3.72931E-02 3.75106E-02 4.04173E-02 4.12497E-02 4.35163E-02 4.59279E-02 4.83312E-02 5.05068E-02 5.32384E-02 5.31697E-02 5.66190E-02 5.61108E-02 5.67854E-02 6.21895E-02 6.08751E-02
