Yield function of production of Ti44 by protons, neutrons, alphas, pi+ and pi-, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are protons.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 120 140 160 180 200 240 280 320 340 380 429.6
0.01 1.96319E-05 6.06551E-13 4.03362E-13 3.49524E-13 2.18394E-13 1.59763E-13 1.23616E-13 5.25225E-14 3.55073E-14 3.67584E-14 1.70264E-14 9.79395E-15 9.91255E-15 9.66790E-15 5.94652E-15 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 1.81133E-04 8.03230E-07 7.26600E-09 5.49083E-09 3.80576E-09 2.81576E-09 2.33351E-09 1.46203E-09 9.83522E-10 6.38400E-10 4.36001E-10 3.42250E-10 1.97094E-10 1.31508E-10 8.78074E-11 5.45154E-11 2.55164E-11 1.11339E-11 6.20711E-13 1.94026E-14 4.39023E-15 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.1 2.02099E-04 1.90158E-04 1.50048E-04 1.01837E-04 2.59413E-06 2.19986E-06 1.82198E-06 1.37450E-06 1.05963E-06 8.35764E-07 6.81653E-07 5.65914E-07 4.32984E-07 3.75948E-07 3.17003E-07 2.26644E-07 1.50805E-07 1.12624E-07 8.39577E-08 6.04809E-08 4.54650E-08 1.97368E-08 5.49854E-09 8.90806E-09 8.55417E-09
0.3 3.07734E-04 3.03329E-04 2.90268E-04 2.69451E-04 2.38287E-04 2.10624E-04 1.83819E-04 1.38117E-04 9.96518E-05 6.70986E-05 3.81071E-05 2.61479E-05 2.28948E-05 2.07601E-05 1.84530E-05 1.70984E-05 1.32509E-05 1.24974E-05 9.66907E-06 9.47025E-06 6.48158E-06 6.80170E-06 4.31741E-06 4.53035E-06 2.03676E-06
1.0 5.47934E-04 5.70911E-04 5.58268E-04 5.72607E-04 5.49666E-04 5.53341E-04 5.29598E-04 5.26889E-04 5.07031E-04 4.98273E-04 4.59855E-04 4.34379E-04 4.10793E-04 3.97262E-04 3.71320E-04 3.43431E-04 3.03446E-04 2.70993E-04 2.46269E-04 2.40058E-04 1.84105E-04 1.56291E-04 1.39208E-04 1.20115E-04 1.00653E-04
3.0 9.20322E-04 9.29458E-04 9.85766E-04 9.86659E-04 1.02193E-03 1.04746E-03 1.05756E-03 1.10602E-03 1.06127E-03 1.09513E-03 1.05890E-03 1.06285E-03 1.05067E-03 1.02910E-03 1.02936E-03 9.94912E-04 9.47386E-04 9.26037E-04 8.85064E-04 8.59579E-04 7.95698E-04 7.64841E-04 8.06575E-04 7.18991E-04 6.84961E-04
10.0 1.75662E-03 1.83145E-03 1.89684E-03 1.99177E-03 2.09715E-03 2.15497E-03 2.19186E-03 2.32450E-03 2.38422E-03 2.42105E-03 2.43545E-03 2.48336E-03 2.49473E-03 2.48262E-03 2.52609E-03 2.51920E-03 2.46451E-03 2.45531E-03 2.48320E-03 2.34683E-03 2.35944E-03 2.29210E-03 2.21588E-03 2.62655E-03 2.08168E-03
30.0 1.82247E-03 1.92901E-03 2.08180E-03 2.22333E-03 2.51151E-03 2.65072E-03 2.90770E-03 3.27445E-03 3.51254E-03 3.86941E-03 4.08852E-03 4.20883E-03 4.41383E-03 4.62469E-03 4.76673E-03 4.92193E-03 5.08326E-03 5.26940E-03 5.39098E-03 5.37014E-03 5.43930E-03 5.40590E-03 5.53978E-03 5.26694E-03 6.00385E-03
100.0 4.21382E-03 4.44841E-03 4.76715E-03 5.05179E-03 5.58464E-03 6.01110E-03 6.52108E-03 7.15419E-03 7.80637E-03 8.70710E-03 8.84338E-03 9.42769E-03 9.74571E-03 1.01174E-02 1.06481E-02 1.13549E-02 1.21658E-02 1.25435E-02 1.35240E-02 1.35992E-02 1.43766E-02 1.42296E-02 1.52779E-02 1.55842E-02 1.75521E-02
